name,city,state,country,employees,founded,description
Nest Filler,Fullerton,,United States,11-50 Employees,2003,"NEST-FILLER PKG provides a diverse selection of cosmetic packaging options, catering to premium, clean, and mass beauty markets, all with a focus on sustainability."
NEST-FILLER PKG,Bucheon-si,,South Korea,11-50 Employees,2003,"NEST-FILLER PKG provides a diverse selection of cosmetic packaging options, catering to premium, clean, and mass beauty markets, all with a focus on sustainability."
Cosmetic-Pack,Ningbo,,China,251-500 Employees,2002,"The company offers a wide range of cosmetics packaging, including lipstick tubes, lip gloss tubes, cosmetic pencils, and nail polish bottles, catering to various needs with options available in small, medium, and bulk quantities. Their partnership with multiple suppliers ensures a growing selection of high-quality products at competitive prices."
KeepMe LifeStyle,Dartford,,United Kingdom,51-100 Employees,2004,"The company specializes in providing full-service solutions, including the design and manufacture of cosmetic packaging. With over 100 stock molds for immediate supply, they ensure a hassle-free experience for clients in need of innovative and commercially successful packaging solutions."
Beauty Packaging Magazine,Montvale,,United States,11-50 Employees,,"The company provides comprehensive market insights and highlights the latest supplier introductions in cosmetics packaging, making it a valuable resource for understanding industry trends and key players."
Pibiplast,Correggio,,Italy,251-500 Employees,1954,"The company specializes in developing innovative and responsible packaging solutions for the cosmetics industry, integrating creativity with technology. Their extensive in-house capabilities and experience since 1972 position them as a key player in shaping the future of beauty packaging."
Quadpack,Barcelona,,Spain,251-500 Employees,1997,"Quadpack offers innovative packaging solutions for cosmetics, including the Regula Prestige Airless Jar, which features a PET material and a bag-in-bottle airless system that provides superior protection for advanced skincare products. This design is particularly beneficial for products like face creams, ensuring their integrity against contamination and external factors."
Cosmetic Packaging Now,Dallas,,United States,11-50 Employees,2017,"Cosmetic Packaging Now, LLC is a leading wholesale distributor of high-quality cosmetic packaging solutions, emphasizing outstanding customer service and a no minimum order quantity policy."
SXCOSPACK,Shaoxing,,China,11-50 Employees,2015,"Shaoxing CosPack Company specializes in innovative cosmetics packaging solutions, offering comprehensive services from concept execution to final production. With a team of in-house specialists and years of experience, they ensure functionality and durability in their designs, making them a valuable partner for makeup packaging projects."
Better Cospack,Xiamen City,,China,11-50 Employees,2010,"Better Cospack, a brand of XIAMEN BETTERNESS IMPORT AND EXPORT CO., LTD, specializes in cosmetic packaging, offering a range of services including color bottle production, silk-screen printing, and hot stamping. With advanced production technologies and a focus on quality and competitive pricing, they cater to various packaging needs for cosmetics and personal care products."
