name,city,state,country,employees,founded,description
Mobile Water Services,Stoke-on-Trent,,United Kingdom,10001+ Employees,,"NSI Mobile Water Solutions specializes in seawater desalination, offering advanced treatment technologies such as reverse osmosis and ultrafiltration. With over 25 years of expertise, the company provides flexible and reliable mobile water solutions to meet both short-term and long-term needs."
Aquatech,Canonsburg,,United States,501-1000 Employees,1981,"Aquatech is a global leader in desalination, leveraging over 40 years of experience to provide innovative solutions that address water scarcity. Their DesalPro™ technology offers AI-powered optimization for desalination processes, highlighting their commitment to solving critical water challenges."
United Utilities Environmental Services,Riyadh,,Saudi Arabia,11-50 Employees,2021,"The company emphasizes its commitment to sustainability through advanced desalination facilities that utilize innovative technologies to optimize efficiency and reduce environmental impact. Water and wastewater treatment are key components of their vision, aligning with their goal of harnessing renewable energy sources for a resilient future."
SIDEM,Montereau-Fault-Yonne,,France,251-500 Employees,1970,"The company, SIDEM, produces over 7,000,000 m³/day of desalinated water through its advanced desalination plants, highlighting its expertise in smart desalination technologies."
Desolenator,London,,United Kingdom,11-50 Employees,2014,"Desolenator specializes in innovative solar thermal desalination solutions that efficiently convert seawater into drinking water without harmful chemicals or energy intermittency. Their technology, which captures significantly more solar energy than traditional methods, supports large-scale water provisioning and promotes a circular economy through a Zero Liquid Discharge process."
Concorde-Corodex Group,Dubai,,United Arab Emirates,1001-5000 Employees,1974,"Concorde – Corodex Group specializes in engineering solutions and has a portfolio that includes a Reverse Osmosis Desalination Plant, highlighting their expertise in addressing water-related challenges."
Osmoflo,Buxton,,Australia,101-250 Employees,1991,"Osmoflo specializes in desalination and advanced water treatment, offering tailored solutions that emphasize sustainability and resource recovery. With over 30 years of experience and a portfolio of more than 600 projects, they utilize innovative technologies, including their patented Brine Squeezer, to enhance efficiency in desalination processes."
Peter Taboada,Redondela,,Spain,11-50 Employees,1980,"Peter Taboada is a specialized company focused on developing innovative solutions for water desalination and purification, with a strong emphasis on research and development. They offer a wide range of applications and systems, including reverse osmosis, tailored for various sectors such as marine, industrial, and residential."
Purewater Technology LLC,Abu Dhabi,,United Arab Emirates,501-1000 Employees,1993,"Pure Water Technology LLC specializes in high-quality, cost-effective water treatment solutions, including extensive experience in the design and operation of seawater reverse osmosis (SWRO) desalination plants."
Hydranautics,Oceanside,,United States,501-1000 Employees,1963,"Hydranautics, a division of Nitto, specializes in advanced membrane products that are essential for seawater desalination. Their technology is employed globally in various applications, ensuring high standards of water treatment, including the purification of seawater for potable use."
