name,city,state,country,employees,founded,description
Química Delta,Mexico,,Mexico,251-500 Employees,1974,"The company is a leading distributor of chemicals in Mexico, emphasizing its expertise in supplying raw materials for personal care and household segments."
Sucroal S.A.,Palmira,,Colombia,501-1000 Employees,1966,"The company specializes in the production of high-quality citric acid derived from sugar cane, utilizing sustainable processes that prioritize environmental protection. Their citric acid is available in anhydrous form, presented as translucent crystals or white powder, and is certified as free from genetically modified organisms."
"TRInternational, Inc.",Seattle,,United States,11-50 Employees,1994,"The company, TRINTERNATIONAL, INC. (TRI), is a supplier and distributor of citric acid, highlighting its use as a natural preservative and flavoring agent. They emphasize their ability to source specialty products, ensuring reliable access to citric acid and related items."
CITRIBEL,Tienen,,Belgium,251-500 Employees,1929,"Citribel is a unique circular producer of citric acid and citrates, utilizing natural surface fermentation of sugar molasses. Their commitment to sustainable practices and high-quality production processes highlights their expertise in creating valuable products derived from nature."
Medikonda Nutrients,Hyderabad,,India,251-500 Employees,2015,"Medikonda Nutrients is a leading manufacturer and wholesale supplier of USDA organic citric acid, highlighting its expertise in providing high-quality organic ingredients for various industries."
"Brainerd Chemical Co., Inc.",Tulsa,,United States,101-250 Employees,1959,"Brainerd Chemical specializes in providing a variety of chemicals, including 50% citric acid, which is a weak organic acid used as a preservative, cleaning agent, and pH reducer, with applications across multiple industries. The company's commitment to high standards and environmentally sustainable solutions underscores its role in the chemical industry."
Corbion,Amsterdam,,Netherlands,1001-5000 Employees,1919,"Corbion is a key player in the production of lactic acid and its derivatives, emphasizing food preservation solutions that may relate to the use of citric acid for enhancing freshness and extending shelf life. The company's commitment to sustainable and biobased chemical solutions highlights its innovative approach in the food industry."
Elchemy,Ahmedabad,,India,1-10 Employees,2021,"Elchemy specializes in providing custom-tailored chemical formulations, including Citric Acid Monohydrate. With a focus on quality and safety, Elchemy is a dedicated manufacturer and supplier of this compound to the USA and India."
Archer Daniels Midland Company,Chicago,,United States,1001-5000 Employees,1902,"ADM offers a range of acidulants, including citric acid and citrates, highlighting their expertise in sourcing fermented ingredients and ensuring flavor, stability, and moisture control in foods and beverages."
Citrosuco,Brazil,,Brazil,5001-10000 Employees,1963,"Citrosuco is a major player in the production of orange juice and related products, emphasizing sustainability throughout its operations. With extensive processing and distribution capabilities, the company ensures a commitment to delivering high-quality, natural food products."
