name,city,state,country,employees,founded,description
Graphite Systems,Lehi,,United States,11-50 Employees,2018,"Graphite enhances supplier management by utilizing robust data synchronization to reduce inaccuracies and risks while delivering real-time data, ultimately adding value to your procurement processes."
Superior Graphite,Chicago,,United States,251-500 Employees,1917,"The company highlights its expertise in sourcing high-quality graphite and carbon raw materials, emphasizing its commitment to innovation and collaboration with partners. Their product portfolio includes various forms of purified graphites, showcasing their capabilities in advanced materials production."
20 Microns,Vadodara,,India,1001-5000 Employees,1987,"20 Microns Limited is a leading company in India specializing in industrial minerals, including graphite. They emphasize innovation and sustainability, offering a diverse range of micronized and sub-micronized minerals that enhance product performance across various applications."
Graphel,West Chester Township,,United States,101-250 Employees,1965,"Graphel Carbon Products has been a leading provider of high-quality graphite tooling and EDM solutions since 1965, serving various industries such as aerospace, power generation, and medical. The company specializes in precision graphite products, offering rapid turnaround and custom solutions to meet client specifications."
AMG Advanced Metallurgical Group,Amsterdam,,Netherlands,1001-5000 Employees,2006,"AMG is focused on sustainable products and processes, which may relate to the growing demand for environmentally-friendly graphite solutions. The company’s expertise in materials science and recycling technologies positions it well within the evolving market for high-purity metals and specialty alloys."
Mersen SA,Paris,,France,10001+ Employees,1892,"Mersen specializes in advanced materials, including isostatic graphite, which is essential for high-tech industries. Their expertise in corrosion-resistant materials contributes to the reliability and performance of various applications, ensuring safety and efficiency in power conversion systems."
Asbury Carbons,Asbury,,United States,251-500 Employees,1895,"Asbury Carbons is a leading supplier of carbon and graphite products, offering nearly 2,000 grades for various industrial applications such as lubricants, fuel cells, and paints. With over 120 years of experience, the company is dedicated to providing high-quality graphite solutions and developing new products to meet evolving customer needs."
Beijing Great Wall,Dongcheng District,,China,251-500 Employees,2003,"The company, GW, is a leading supplier of high-quality graphite in China and globally, offering a diverse range of graphite materials and composites for various applications, including machinery, electronics, and aerospace. Their commitment to competitive pricing and expert knowledge ensures customers receive exceptional products and services that enhance efficiency and meet diverse needs."
Xuran New Materials Limited,Hengshui,,China,11-50 Employees,2010,"Xuran New Materials Limited specializes in the production and sales of high-quality graphite materials and products, offering comprehensive solutions and technical consulting to meet diverse industry needs. Their commitment to quality is evident through strict inspections and adherence to ISO 9001 standards, ensuring customers receive the best graphite products."
Imerys,Paris,,France,10001+ Employees,1880,"Imerys is a key player in the graphite market, being the only European producer of synthetic graphite powder for lithium-ion batteries and fuel cells. Their expertise in mineral-based specialties positions them as a valuable resource for industries requiring high-quality graphite solutions."
