name,city,state,country,employees,founded,description
HILOTEX INTERNATIONAL PRIVATE LIMITED,Surat,,India,11-50 Employees,2021,"The company specializes in sourcing and procuring knitting and weaving yarns, including high-quality cotton yarn from top manufacturers in India, ensuring durability and contemporary products. With over 30 years of experience, it connects clients with reliable suppliers in the textiles industry."
SVP Global Textiles Limited,Mumbai,,India,5001-10000 Employees,1898,"The company is a leading manufacturer of compact cotton yarn, boasting a legacy of over 100 years and modern manufacturing facilities in Oman and India. With a substantial production capacity, they offer a diverse range of high-quality cotton yarns, positioning themselves as one of the largest producers in the global market."
YUNUS TEXTILE MILLS LIMITED,Karachi Division,,Pakistan,1001-5000 Employees,2007,"Yunus Textile Mills Limited is a global leader in the design, marketing, and distribution of premium textile products, highlighting its expertise in the textile industry."
Cotton Field (BD) Ltd.,Gazipur,,Bangladesh,1001-5000 Employees,2004,"Cotton Field (BD) Ltd is a manufacturer in the ready-made garments industry, producing a diverse range of apparel. Their operations suggest a strong capacity for textile production, which may include cotton yarn as a fundamental material in their garments."
Cotyarn Tradelink LLP,Rajkot,,India,11-50 Employees,2018,"Cotyarn Tradelink LLP is a specialized brokerage and commission agency in the cotton industry, focusing on providing premium quality cotton yarns. With a commitment to superior quality and a strong presence in global cotton markets, they aim to meet the unique needs of their clients."
Cotton & Company LLP,Alexandria,,United States,251-500 Employees,1981,"Cotton is a CPA firm that specializes in providing services for governmental agencies and commercial clients, ensuring accountability and proper handling of funds and data."
U.S. Cotton,Rio Rancho,,United States,501-1000 Employees,1983,"The company, U.S. Cotton, is dedicated to manufacturing and marketing high-quality cotton products that meet consumer needs, emphasizing principles like quality and performance. Their commitment to innovative solutions and state-of-the-art technology ensures they provide top-tier cotton items, which positions them as a leader in the health and beauty cotton products market."
United Raw Material Pte Ltd,Singapore,,Singapore,51-100 Employees,2006,"URMPL is a significant supplier and exporter of cotton yarn, among other textile yarns made from various natural and synthetic fibers. The company's commitment to providing high-quality products at competitive prices ensures customer satisfaction and strengthens its presence in the global market."
Art-Yarn Exports (India) Pvt. Ltd.,Mumbai,,India,11-50 Employees,2004,"Art-yarn is committed to providing high-quality cotton yarn, emphasizing their dedication to sustainability and innovation in the yarn industry. With multiple certifications, including GOTS and Oeko-Tex, they ensure that their cotton products meet rigorous standards for organic and recycled materials."
Sutlej Textiles and Industries,Mumbai,,India,1001-5000 Employees,2005,"Sutlej Textiles and Industries Limited is a prominent textile solutions provider that offers a diverse range of products, including cotton yarn. With a strong manufacturing capacity and a commitment to innovation and quality, the company processes an extensive portfolio of cotton blended and dyed yarns, making it a key player in the cotton yarn market."
