name,city,state,country,employees,founded,description
Molygran & Co. Ltd,United Kingdom,,United Kingdom,11-50 Employees,1981,"Molygran is a leading supplier of expanded polystyrene (EPS) in the UK, specializing in the conversion and supply of polystyrene products tailored to various industries. With over 130 years of experience, Molygran ensures timely delivery and high-quality, made-to-order items."
"Styropek Mexico, S.A. de C.V.",Mexico,,Mexico,251-500 Employees,2015,"Styropek is the largest EPS (Expandable Polystyrene) manufacturer in America, with production plants in Mexico, Brazil, Argentina, and Chile, totaling a capacity of 460,000 tons per year. The company's commitment to high-quality products and excellent service positions it as a leader in the EPS industry."
Polystyrene Solutions Pty Ltd,Gold Coast City,,Australia,1-10 Employees,1999,"Polystyrene Solutions is a prominent supplier of various polystyrene products, including sheets and foam, highlighting its expertise in this versatile and cost-effective building material. With 37 years of experience, the company emphasizes its ability to deliver high-quality polystyrene solutions for diverse applications."
Styrene Packaging & Insulation Ltd,Bradford,,United Kingdom,51-100 Employees,1976,"Styrene Packaging & Insulation is a leading UK manufacturer of Expanded Polystyrene (EPS), offering a diverse range of EPS products for packaging, insulation, and construction applications. With over 30 years of experience, the company emphasizes quality and innovation in its bespoke insulation solutions for roofing and flooring."
CEDAP,-,,-,,,"CEDAP (Compagnie Européenne Des Applications Plastiques) is a leading provider of food-contact polystyrene sheeting, particularly for Form Fill Seal technology. With a history of innovation, CEDAP specializes in transforming various polymers, including polystyrene, to create efficient and sustainable packaging solutions for the food and dairy industry."
Frigocel S.A. de C.V.,Mexico,,Mexico,251-500 Employees,,"FRIGOCEL, S.A. de C.V. is a leading Mexican manufacturer with over 50 years of experience in transforming plastics, including Polystyrene (PS) and Expanded Polystyrene (EPS). They offer a wide range of products and solutions for various industries, highlighting their expertise in polystyrene applications."
Storopack España,Sant Boi de Llobregat,,Spain,1001-5000 Employees,1874,"Storopack specializes in protective packaging and offers innovative products like their PELASPAN® and Styrofill® packaging chips, which provide safe and flexible protection for goods of all sizes."
Smart Packaging Europe,Brussels,,Belgium,10001+ Employees,2021,"The company, Smart Packaging Europe, highlights the benefits of Expanded Polystyrene (EPS), emphasizing its lightweight, shock-resistant, and exceptional insulating properties, making it a highly versatile and sustainable packaging material."
Styrmann Sp. z o.o.,Gawartowa Wola,,Poland,51-100 Employees,,"The company specializes in the production of styrofoam, particularly EPS and XPS, which are types of foamed polystyrene used for thermal insulation in construction. With over 20 years of experience, they offer a diverse range of styrofoam products, emphasizing quality and efficiency for energy-efficient homes."
INEOS Styrolution,Frankfurt,,Germany,1001-5000 Employees,2011,"INEOS Styrolution is a prominent global supplier of polystyrene, along with other styrenics, catering to various industries such as packaging and electronics. The company emphasizes innovation and sustainability, offering products made from recycled materials, which aligns with the growing demand for environmentally friendly solutions in the styrenics market."
