name,city,state,country,employees,founded,description
EuropCar Mobility Group,Paris,,France,5001-10000 Employees,,"Europcar Mobility Group is a prominent vehicle rental service provider in Europe, offering a wide selection of cars and vans for various needs and durations, including on-demand and subscription options. The company's commitment to sustainable mobility is reflected in its growing fleet of green vehicles, while its diverse brands cater to different customer preferences."
Quadis Rent a Car,Barcelona,,Spain,1001-5000 Employees,1990,"The company specializes in providing vehicle rentals without a driver, catering to individuals, businesses, and offering replacement vehicles. With a diverse and continuously updated fleet representing 30 brands, it ensures a wide selection for car rental needs."
KEY Car Rental,Jeddah,,Saudi Arabia,501-1000 Employees,1982,"KEY Rent A Car is a prominent car rental company in Saudi Arabia, providing a diverse array of services such as corporate leasing and transportation solutions, making it a key player in the car rental market."
Diamondlease,Dubai,,United Arab Emirates,501-1000 Employees,1996,"Diamondlease L.L.C, a subsidiary of the Al Habtoor Group, specializes in automotive rental and leasing solutions in the UAE, offering a diverse fleet of over 14,000 vehicles for short-term and long-term hire. With a focus on high-quality service and competitive pricing, Diamondlease caters to both corporate and individual customers, ensuring reliable transportation options and 24-hour roadside assistance."
Eco Rent A Car,New Delhi,,India,501-1000 Employees,1996,"The company is a leading provider of luxury car rentals in India, operating in 80 cities, including major locations like Delhi/NCR and Mumbai. They emphasize excellent corporate car rental services, offering a well-maintained fleet and professionally trained chauffeurs, making them a top choice for businesses seeking reliable transportation solutions."
First Car Rental,Durban,,South Africa,251-500 Employees,1999,"First Car Rental offers a range of services, including long-term car rental, making it a reliable option for those in need of vehicles. With over 24 years of experience, the company is well-established in the South African car rental market."
RentiCar,Turkey,,Turkey,11-50 Employees,2021,"RentiCar offers quick and easy car rental options, including long-term and monthly rentals with flexible payment plans, allowing you to enjoy your journey freely. With a variety of vehicle models available based on your location and a dedicated support team, RentiCar ensures you have access to the best car rental services."
VRS - Vehicle Rental Services,United Kingdom,,United Kingdom,11-50 Employees,2002,"VRS has extensive experience in the car rental industry, partnering with leading operators in the UK to supply over 60,000 vehicles. Their focus is on providing a wide range of cost-effective vehicles and the right tools to help rental businesses operate more efficiently and competitively."
Enterprise Holdings,St. Louis,,United States,10001+ Employees,1957,"Enterprise Holdings is a leading mobility solutions company that offers a comprehensive range of car and truck rental services, along with vanpooling and carsharing options. With over 65 years of operational excellence, the company is dedicated to providing customers with reliable and sustainable mobility choices."
Europcar Tattersall (Compañía de Leasing Tattersall),Santiago,,Chile,501-1000 Employees,1990,"Europcar Chile is a prominent car rental provider, offering a diverse fleet and extensive national coverage, ensuring exceptional service for customers."
