name,city,state,country,employees,founded,description
Disney Sweater Ltd,Dhaka,,Bangladesh,1001-5000 Employees,,"Disney Sweater Limited specializes in the production and export of high-quality, fashionable sweaters for men, women, and children, emphasizing cost-effectiveness and customer satisfaction."
Sweater,Boulder,,United States,11-50 Employees,2019,"Sweater is a platform that democratizes access to venture capital, making it available to a broader audience."
MAS Holdings,Colombo,,Sri Lanka,10001+ Employees,1987,"MAS Holdings specializes in the manufacturing of sweatshirts, utilizing advanced cut and sew technology to create seamless knitted textures and incorporating innovative 3D texture placement for enhanced thermal integration."
Sonia & Sweaters Limited,Basaid,,Bangladesh,1001-5000 Employees,2003,"Sonia & Sweaters Limited is a specialized designer and manufacturer of fully-fashioned knitwear, offering a diverse range of sweaters and other apparel. The company focuses on transforming designs into successful products while utilizing advanced technologies and committing to sustainable practices."
Mark Sweater Ltd. A sister concern of Mondol Group,Gazipur,,Bangladesh,1001-5000 Employees,2001,"Mark Sweater Ltd. specializes in high-quality sweaters, offering a range of styles for men, women, and children, and is committed to quality and customer satisfaction."
Ocean Sweater Ind. (Pvt.) Ltd,Gazipur,,Bangladesh,1001-5000 Employees,2006,"Ocean Sweater specializes in the manufacturing and exporting of knitwear, including sweaters for men, women, and children. With over 17 years of experience, the company emphasizes excellence and customization in its products."
Alphabroder,Lower Southampton Township,,United States,1001-5000 Employees,1919,"alphabroder offers a diverse selection of apparel, including the Harriton Ladies' Pilbloc™ V-Neck Sweater, highlighting their extensive inventory of over 6,500 styles from various brands. Their commitment to quality and customer service makes them a go-to source for branded sweaters and other clothing."
Kingly,Sofia,,Bulgaria,11-50 Employees,2014,"Kingly Ltd. specializes in manufacturing high-quality knitted sweaters, offering a diverse range of styles and upcycled options that emphasize both comfort and sustainability. Their products, designed for a perfect fit and durability, can be customized for various themes, making them ideal for promotional activities and marketing campaigns."
"ZheJiang Springair Textile Group CO, LTD",Hangzhou City,,China,1001-5000 Employees,1985,"Zhejiang Springair Textile Group specializes in cashmere and textile products, offering a diverse range of high-quality apparel, including custom sweaters and knitted sweaters. With a strong production capacity and a focus on sustainable practices, the company is a leading supplier of cashmere apparel globally."
Smug Sweater Ltd,Tongi,,Bangladesh,1001-5000 Employees,2006,"Smug Sweater Ltd. is a prominent knitwear manufacturer and exporter in Bangladesh, specializing in sweaters since 1993. The company emphasizes quality in its operations, which it considers essential to its success."
