name,city,state,country,employees,founded,description
Bertrandt AG,Ehningen,,Germany,,,"We are an independent, international development partner with over 50 years of automotive expertise in digitalization, e-mobility, and autonomous systems. We deliver cross-industry solutions throughout the entire product development process."
AGRODUR Grosalski GmbH & Co. KG,Bad Berleburg,,Germany,,,"Agrodur is a leading supplier of precision plastic components for automotive and industrial applications, including suspension parts, connectors, housings, and coil insulation components, delivering high-performance solutions from design to series production."
CT Automotive,-,,-,,,"CT Automotive specializes in designing, developing, and manufacturing high-quality automotive interior finishes and complex assemblies for major automotive brands. With a commitment to innovation and customer service, the company aims to enhance its product offerings and expand its presence in the automotive industry."
DRB-HICOM,Shah Alam,,Malaysia,501-1000 Employees,1996,"DRB-HICOM Group is a key player in the automotive sector, focusing on manufacturing and distribution while forming strategic partnerships with global brands to enhance its offerings."
TPV AUTOMOTIVE,Brežice,,Slovenia,1001-5000 Employees,1989,"TPV AUTOMOTIVE d.o.o. is a key player in the automotive industry, focusing on innovative solutions that improve vehicle dynamics, safety, and comfort, particularly in electric vehicle technologies. Their expertise includes the design and manufacturing of advanced automotive components, serving prestigious OEMs like BMW and Mercedes Benz."
IAV,Berlin,,Germany,10001+ Employees,1983,"IAV is a prominent global developer focused on innovative technologies for the automotive industry, offering extensive services in vehicle development, including powertrain mechatronics and driver assistance systems. Their expertise spans combustion engines, connectivity solutions, and the development of autonomous driving technologies, making them a key player in advancing vehicle safety and performance."
Rivian,Irvine,,United States,10001+ Employees,2009,"The company specializes in electric vehicles and automotive parts, focusing on transportation equipment manufacturing and offering leasing options for its vehicles."
Infopro Digital Automotive,Antony,,France,501-1000 Employees,,"The company specializes in software and technical data solutions for the automotive industry, aiming to lead in connecting and informing the automotive aftermarket sectors. With a history of supporting automotive parts manufacturers and professionals since 1946, they offer a range of innovative digital services designed to meet the evolving needs of the automotive market."
Electricfil Corporation,Miribel,,France,1001-5000 Employees,1936,"EFI Automotive is a global automotive supplier that creates innovative technological solutions to enhance mobility experiences. They provide advanced systems for electric motors, driver assistance, and onboard energy management, along with innovative sensors and actuators for electric mobility, positioning themselves as a key player in the automotive sector."
Nav Tech Electronics India Pvt. Ltd.,Hyderabad,,India,11-50 Employees,1997,"Navtech specializes in the complete development of the ""V"" Cycle, particularly in the context of ADAS systems, highlighting its expertise in innovative automation products for the automotive industry."
