name,city,state,country,employees,founded,description
Chaayos,New Delhi,,India,1001-5000 Employees,2012,"Chaayos, a tea specialist in India, offers a premium green tea as part of its diverse beverage selection, enhancing the traditional tea experience with modern flavors."
Chai Point,Bengaluru,,India,1001-5000 Employees,2010,"Chai Point specializes in tea products and offers Classic Green Tea made from the finest Assam tea leaves, designed to provide a light and refreshing experience."
Tea Culture of the World,Mumbai,,India,51-100 Employees,2010,"The company offers a selection of premium loose green tea leaves that are 100% chemical-free and sourced from Fairtrade-certified producers, ensuring both ethical practices and superior taste."
Tetley,London,,United Kingdom,1001-5000 Employees,1837,"Tetley is a manufacturer of premium tea blends, including green tea, and is committed to ethical and sustainable farming practices. The company emphasizes the benefits of incorporating green tea into one's diet and offers a variety of green tea recipes."
Jeeva Organic Private Limited,Bhubaneswar Municipal Corporation,,India,51-100 Employees,2019,"Jeeva Organic offers wholesale organic green tea (Camellia sinensis), processed to maintain its natural properties, ensuring premium quality green tea powder for dietary supplements. Their commitment to pure ingredients underscores their dedication to the global food supply chain."
Luxmi Estates,Kolkata,,India,1001-5000 Employees,1912,"Luxmi Tea offers a premium ceremonial grade Matcha green tea, renowned for its vibrant emerald color and high antioxidant content, providing a clean energy boost without jitters. This organic Matcha, sourced from the finest Tencha leaves in Japan, supports metabolism, heart health, and concentration while being free from additives."
TEALEAVES,Vancouver,,Canada,51-100 Employees,1994,"TEALEAVES offers a Health & Well-Being green tea that provides a daily antioxidant boost, emphasizing its focus on health and wellness through high-quality, organic ingredients."
Girnar Tea,Mumbai,,India,501-1000 Employees,1974,"Girnar Tea offers a premium green tea product, ""Healthy Green,"" which features a mildly astringent taste and a smooth mouthfeel, staying true to the classic flavor of green tea. The tea is thoughtfully packaged in vintage-style pouches that ensure freshness, enhancing the overall tea experience."
Teacurry Teas,Dadri,,India,501-1000 Employees,1994,"Teacurry offers a Watermelon Green Tea that combines high-quality Taiwanese loose leaf green tea with juicy watermelon pieces and selected herbs, creating a nutritious blend rich in antioxidants. This revitalizing infusion is perfect for health-conscious individuals seeking a refreshing energy boost, suitable for both hot and cold enjoyment."
Evergreen Dooars Tea Pvt. Ltd.,Siliguri,,India,251-500 Employees,2012,"Evergreen Tea Group is a prominent player in the premium tea market, offering a diverse range of teas, including green tea. Their commitment to quality and advanced manufacturing ensures a rich and flavorful tea experience."
