name,city,state,country,employees,founded,description
Umax Strength,Chino,,United States,11-50 Employees,2007,"UMAX Strength is a manufacturer that offers a wide range of premium commercial-grade dumbbells, along with other fitness equipment. Their commitment to quality and innovation ensures that they provide top-notch products for fitness enthusiasts."
Doer Fitness,Costa Rica,,Costa Rica,11-50 Employees,2016,"Doer Fitness offers a range of high-quality dumbbells, including the Doer Hex Dumbbells Set, designed for durability and customer satisfaction. Their commitment to service and product excellence ensures that customers receive reliable strength and conditioning equipment."
FitLine India,New Delhi,,India,251-500 Employees,1995,"FitLine offers a range of high-quality rubber dumbbells, emphasizing their durability and safety features, such as a design that prevents rolling. They also provide free delivery on dumbbell orders, making it a great opportunity for fitness enthusiasts to enhance their strength training."
Fitness Depot,Canada,,Canada,251-500 Employees,,"The company offers a variety of fitness products, including Rubber Hex Dumbbells, which are essential for workout routines due to their compact size and durability."
FITBENCH,Town of Ixonia,,United States,1-10 Employees,2016,FITBENCH offers high-quality dumbbells designed with a hexagon shape to prevent rolling and a matte finish for durability. Their use of commercial-grade rubber and superior grip design enhances user experience during workouts.
Gallant Sports,Manchester,,United Kingdom,11-50 Employees,2013,"Gallant Sports offers a premium selection of rubber hex dumbbells, designed for durability and ergonomic comfort, making them ideal for both home and commercial gym use. Their cast iron hexagonal dumbbell set features a protective rubber layer and flat edges for easy storage and safety during workouts."
Dualbell,Village of Scarsdale,,United States,1-10 Employees,2021,"Dualbell specializes in innovative fitness equipment, particularly their unique Dualbell accessory that allows users to easily connect dumbbells to a barbell. This product enhances strength training by enabling more exercises with less equipment, making it a versatile solution for both home gym enthusiasts and serious lifters."
Jordan Fitness,King's Lynn and West Norfolk,,United Kingdom,11-50 Employees,1989,"Jordan Fitness offers a variety of rubber dumbbells, making them an excellent choice for home gyms, commercial clubs, and sports facilities. With over 30 years of experience, the company is a trusted supplier of quality fitness equipment."
Dumbell Wellness,Chennai,,India,51-100 Employees,2017,"Dumbell Wellness is a health and wellness company that specializes in fitness products, offering a variety of high-quality nutraceuticals, including Dumbell Whey Protein. They also provide personalized diet meals and ready-to-drink protein shakes, catering to the nutritional needs of fitness enthusiasts."
Again Faster,Jacksonville,,United States,11-50 Employees,2006,"The company specializes in durable fitness equipment and offers a range of Rubber Hex Dumbbells, which are designed to enhance workout variability and build strength, stability, and coordination. Their selection includes a 500lb package and various weights, making it easy to integrate dumbbell training into any fitness routine."
