name,city,state,country,employees,founded,description
TOKO JADI,Special capital Region of Jakarta,,Indonesia,11-50 Employees,1993,"Toko Jadi specializes in office stationery supplies, offering a diverse range of products such as pens, paper, and printer ink cartridges. With a commitment to affordability and a regularly updated inventory, they strive to be one of the cheapest stationery suppliers in Jakarta."
Dar El Chimal-Stationery,Tripoli,,Lebanon,11-50 Employees,1953,"Dar EL Chimal-Stationery is a key player in the stationery market, offering a diverse range of products including basic and classroom stationery. As the exclusive distributor of several renowned brands in Lebanon, they also provide convenient online shopping and delivery services for stationery throughout the country."
Crane & Co.,Dalton,,United States,1001-5000 Employees,1801,Crane Stationery is a company that specializes in high-quality stationery products.
Ryman Stationery,Crewe,,United Kingdom,10001+ Employees,1893,"Ryman is a leading retail company that specializes in a wide array of stationery and office supplies, including writing tools, paper, and filing solutions. Their extensive product selection also features tech products and services tailored for businesses and educational institutions."
Office Stationery,Essex,,United States,1-10 Employees,2004,"OfficeStationery offers a wide range of office stationery supplies, including pens, paper, and more, all at discounted prices without compromising quality. With over 79,320 products in stock and a commitment to great service, they ensure you have access to the best stationery for your needs."
Stationery World,Singapore,,Singapore,11-50 Employees,,"The company offers a wide range of stationery supplies, including writing instruments and office essentials, catering to both individuals and businesses in Singapore. They provide island-wide delivery and customized solutions to ensure timely access to the materials you need for work or creative projects."
IG Design Group Plc,Bedford,,United Kingdom,1001-5000 Employees,1978,"IG Design Group plc is a prominent global manufacturer and distributor of stationery products, including greeting cards and calendars. The company's commitment to design-led excellence and innovation ensures a diverse range of high-quality stationery items that cater to various consumer needs."
Stationery Island Limited,Nottingham,,United Kingdom,11-50 Employees,2015,"Stationery Island is an online retailer that specializes in a wide variety of creative stationery and art supplies, including art pens, markers, sketchbooks, and paints. Renowned for their product quality and commitment to customer satisfaction, they engage with a vibrant community of artists, making them a go-to source for those looking to explore their creativity."
Dolphin Stationers Limited,Nairobi,,Kenya,11-50 Employees,,"The company offers a wide range of affordable and innovative stationery products designed to unleash creativity, making it a great resource for all your office supply needs."
STAPLES Canada,Richmond Hill,,Canada,10001+ Employees,1991,"The Pierre Belvedere Stationery Set, which includes letter sheets and cards, is available at Staples.ca."
