name,city,state,country,employees,founded,description
Strong Foam Insulation Inc.,Kitchener,,Canada,11-50 Employees,2016,"Strong Foam Insulation specializes in spray foam insulation, providing exceptional thermal performance and energy efficiency. Their commitment to innovative and effective insulation solutions positions them as a leader in the industry, making them a valuable resource for those seeking high-quality foam insulation services."
Foam All Spray Insulation,United States,,United States,11-50 Employees,,"Foam All LLC specializes in the installation of spray polyurethane foam (SPF) insulation, which enhances energy efficiency and reduces pollutants in residential and commercial buildings."
SuperSeal Insulation,Town of Ramapo,,United States,11-50 Employees,2006,"SuperSeal Insulation specializes in spray foam insulation, which effectively seals gaps in a structure to prevent air leaks and reduce energy consumption. Their experts offer various spray foam solutions tailored to project needs, ensuring quality service and customer satisfaction."
Airfoam Industries Ltd.,Surrey,,Canada,51-100 Employees,2016,"Airfoam Industries Ltd. specializes in sustainable EPS insulation products, offering a variety of high-performance building insulation solutions that deliver superior energy efficiency and R-value. Their products are designed for diverse applications, from underslab to roofing systems, making them ideal for projects aiming for enhanced thermal performance and compliance with energy standards."
Foam South LLC,Cumming,,United States,11-50 Employees,2014,"Foam South specializes in high-quality insulation solutions, including Spray Foam Insulation, which is designed to enhance energy efficiency and overall performance for both residential and commercial projects. With over three decades of experience, the company ensures that all installations are carried out by certified professionals, guaranteeing quality and reliability."
Armacell,Luxembourg,,Luxembourg,1001-5000 Employees,2000,"Armacell specializes in innovative insulation systems and engineered foams, offering a variety of products that enhance energy efficiency and safety. Their ArmaFlex product line features advanced flexible insulation materials, including the next-generation ArmaGel® aerogel technology, which provides effective thermal insulation across a wide temperature range."
Southern Foam Insulation LLC,United States,,United States,11-50 Employees,,"Southern Foam Insulation Inc. specializes in high-quality, energy-efficient foam insulation solutions, including spray foam, block foam, and blown-in insulation, designed to reduce utility bills and enhance comfort for both residential and commercial applications. Their expert-certified installations and professional services ensure optimal temperature regulation and improved indoor air quality."
Envirofoam Technologies Inc.,Pooler,,United States,51-100 Employees,2007,"EnviroFoam Spray Foam specializes in open and closed cell spray foam insulation, offering energy-saving solutions that enhance indoor air quality and maintain balanced temperatures in residential spaces. Their services can significantly reduce energy bills by addressing air leaks and replacing outdated insulation."
Scott Industries,United States,,United States,101-250 Employees,1946,"Scott Manufacturing, LLC specializes in custom fabrication of foam insulation products, including their Scott Foam Insulation Tape. This tape is designed to control condensation and heat gain/loss, making it ideal for challenging insulation applications, and it features a closed cell construction that offers excellent vapor resistance and durability."
SWD Urethane,Mesa,,United States,101-250 Employees,1972,"SWD is a prominent manufacturer of construction materials, offering QUIKSHIELD Spray Foam insulation, which is highly effective for insulating buildings. Their products include both open-cell and closed-cell foam options, providing superior thermal resistance and reducing energy loss."
