name,city,state,country,employees,founded,description
Direct Wines,Reading,,United Kingdom,501-1000 Employees,1969,"Direct Wines Ltd is an international independent wine merchant that specializes in sourcing and marketing a diverse range of wines, including red wine. The company operates Laithwaite's Wine, where customers can buy red wine online by the case or bottle, highlighting its commitment to enhancing the wine-buying experience."
RareWine Invest,Aalborg,,Denmark,51-100 Employees,2016,"RareWine specializes in supplying exclusive, high-quality wines at competitive prices and hosts regular wine tastings that often feature producers, offering unique insights into the wines. Additionally, RareWine Invest provides personalized investment advice and secure storage options for wine, making it a key player in the investment wine market."
Wineshipping,United States,,United States,1001-5000 Employees,1998,"Wineshipping is a third-party logistics provider that specializes in the storage and transport of wine and alcoholic beverages, offering a fast and cost-efficient delivery network that reaches 99.2% of customers within 2 days. Their tech-enabled solutions and strategic partnerships ensure a streamlined logistics process for businesses of all sizes, making it easier to deliver red wine and other products to consumers."
Staples Australia/New Zealand,Sydney,,Australia,1001-5000 Employees,,"Winc offers a diverse range of products and solutions tailored for various organizations, including a Corporate Cellars Catalogue that may feature selections of red wine. This catalogue showcases Winc's commitment to providing specialized offerings that can enhance workplace environments and events."
Majestic Wine,Watford,,United Kingdom,1001-5000 Employees,1980,"Majestic Wine is the UK's largest specialist wine retailer, offering a diverse selection of over 1,400 wines, including red wines. With a team of WSET trained experts and personalized services like in-store tastings and expert recommendations, Majestic Wine ensures customers can find quality red wines for any occasion."
Winery.ph,Makati,,Philippines,11-50 Employees,2016,"Winery.ph is an online wine supplier in the Philippines that specializes in providing high-quality, lesser-known wines, including red varieties, sourced from boutique wineries. They emphasize quality and customer satisfaction, offering a Wine Quality Guarantee and an extensive catalog to enhance wine education and enjoyment."
Wine To Water,Boone,,United States,11-50 Employees,2007,"Wine To Water is an international non-profit that emphasizes the importance of clean water, which is essential for various agricultural practices, including viticulture. Their mission to support life and dignity through access to clean water can indirectly relate to the quality and sustainability of wine production."
MATTHEW CLARK BIBENDUM (HOLDINGS) LIMITED,Bristol,,United Kingdom,1001-5000 Employees,2007,"The company offers a wide selection of over 4,000 products, including red wines like the Chianti Classico Gran Selezione, ""Poggio Cheto"" Tenute Piccini, known for its complex aromas and smooth palate. Their comprehensive service includes next-day delivery and training, enhancing the experience for hospitality venues."
Winzera,New Delhi,,India,10001+ Employees,2021,"Winzera is a manufacturer of quality health and wellness products, which may include unique offerings that promote well-being. Their focus on empowerment and personal development suggests a commitment to enhancing overall health."
WOW Beverages,Nairobi,,Kenya,251-500 Employees,1993,"WOW Beverages specializes in premium wines and offers a diverse selection of red wines, including the Fairview Sweet Red 2017 and Gato Negro Carmenere."
