name,city,state,country,employees,founded,description
Swimwear Anywhere,Village of Farmingdale,,United States,251-500 Employees,1933,"Swimwear Anywhere Inc. is renowned for its bra-sized swimwear, offering exceptional fit, quality, and fashionable designs. Their expertise in textiles and commitment to innovative techniques ensure that women have access to some of the best swimwear in the industry."
MAS Holdings,Colombo,,Sri Lanka,10001+ Employees,1987,MAS Holdings is a leading swimwear manufacturer that specializes in sustainable and eco-friendly options for both fashion and sports brands.
SWIM USA,New York,,United States,251-500 Employees,1938,"SWIM USA is a leading global company specializing in the design, manufacture, and marketing of various swimwear, including branded, licensed, and private label options. Their mission is to produce the highest quality fashion swimwear, emphasizing continuous improvement and customer satisfaction."
Heat Swimwear,North Miami Beach,,United States,1-10 Employees,2011,"The company is a Miami-based swimwear and beachwear brand that specializes in fashionable apparel designed for beach activities. They offer a wide variety of high-quality swimwear for women, children, and teens, featuring diverse prints and styles."
Icon Swim,Kennesaw,,United States,11-50 Employees,,The company offers a stunning and affordable selection of swimwear for both men and women.
LIV BRASIL BEACHWEAR & SWIMWEAR MANUFACTURER,Porto Alegre,,Brazil,11-50 Employees,2013,"Liv Brasil is a Brazilian swimwear manufacturer that specializes in exclusive luxury sports and swimwear, offering a variety of customizable and reversible styles for all body types. Their commitment to sustainable fashion and eco-friendly materials makes them a notable player in the swimwear industry."
Q Swimwear,San Diego,,United States,11-50 Employees,2005,"Qswimwear specializes in high-quality, customizable swimsuits, offering a range of styles including one-piece suits, bikinis, and surf suits. With over 20 years of experience and the use of premium Italian fabrics, they ensure durability and performance for training and competitions."
Monday Swimwear,Los Angeles,,United States,11-50 Employees,2014,"The company offers a range of swimwear for women, specifically designed to accommodate cup sizes up to E/F, ensuring a perfect fit and support through thoughtful construction. Their Capri Top features enhanced underwire and adjustable straps for added comfort and a flattering silhouette."
Speedo,Bengaluru,,India,251-500 Employees,1914,"Speedo is a prominent swimwear manufacturer known for its innovative designs and advanced materials, catering to a wide range of swimmers from Olympic athletes to beginners. With a legacy of technological advancements, Speedo offers an extensive selection of swimsuits and aquatic gear suitable for various water environments."
Bundchen Swimwear,Shaoxing,,China,251-500 Employees,,"The company is a swimwear brand from China that specializes in OEM and ODM services, providing customized manufacturing solutions, including bikinis and kids' swimwear."
