name,city,state,country,employees,founded,description
Scott Industries,United States,,United States,101-250 Employees,1946,"Scott Manufacturing, LLC has over 75 years of experience in custom fabricating fiberglass insulation products, establishing itself as a leader in providing quality thermal and acoustic insulation solutions."
US GreenFiber,Charlotte,,United States,251-500 Employees,2000,"Greenfiber offers cellulose insulation products that use 13 times less energy to manufacture than traditional fiberglass insulation, highlighting their commitment to environmentally friendly and healthier building materials. Their insulation solutions promote well-being and comfort, making them a compelling alternative for those seeking effective insulation options."
Knauf Insulation North America,Shelbyville,,United States,1001-5000 Employees,1978,"Knauf Insulation is a leading global manufacturer of fiberglass insulation, offering a wide range of thermal and acoustical solutions for various applications, including residential, commercial, and industrial. Their innovative insulation products are designed to enhance the way we live and build, reflecting a commitment to quality and sustainability."
Southland Insulators,Manassas,,United States,51-100 Employees,1986,"Southland Insulators provides a range of fiberglass insulation services, emphasizing its value in enhancing comfort and reducing heating and cooling costs for both homeowners and businesses. Their partnership with major manufacturers ensures customers receive quality insulation solutions tailored to their needs."
Bay Insulation Systems,Green Bay,,United States,251-500 Employees,,"Bay Insulation Systems is a prominent supplier of fiberglass insulation, offering custom-laminated, UL Certified products made from NAIMA 202-96 fiberglass blanket. Their extensive range includes various insulation systems and materials, emphasizing quality and service."
Fletcher Insulation,Sydney,,Australia,251-500 Employees,,"Fletcher Insulation is a prominent Australian manufacturer of fiberglass insulation, specifically high-quality glasswool products like Pink Batts®. The company emphasizes sustainability and innovation, ensuring their insulation solutions meet strict standards for fire resistance, acoustic performance, and energy efficiency."
General Insulation Company,Medford,,United States,251-500 Employees,1927,"General Insulation Company is a wholesale distributor that offers a comprehensive range of sustainable insulation products designed for thermal efficiency and moisture control. They emphasize prompt service and expertise, ensuring timely delivery and a commitment to quality in the construction-related markets."
Superglass,Stirling,,United Kingdom,251-500 Employees,1987,"Superglass is a leading manufacturer of glass mineral wool insulation, offering a wide range of products suitable for various applications, including roofs, walls, floors, and lofts. With over 40 years of experience and numerous accreditations, Superglass emphasizes quality and ease of installation, making it a smart choice for homeowners and builders alike."
The Insulectric Group,Germiston,,South Africa,11-50 Employees,1972,"Insulectric specializes in high-temperature electrical insulation and offers a range of rigid insulation materials, including fiberglass, tailored to meet strict international and local standards. Their expertise serves various industries, ensuring custom fabrication and components that align with specific client requirements."
EcoLogical Insulation LLC – Auburn,Auburn,,United States,11-50 Employees,2008,"EcoLogical Insulation specializes in environmentally friendly insulation solutions, including fiberglass. They emphasize the importance of proper insulation and air sealing to improve energy efficiency and comfort in various building projects."
