name,city,state,country,employees,founded,description
Sensil®,Emek Hefer Regional Council,,Israel,1001-5000 Employees,1969,"Sensil® is made of Nylon 6.6, which is a high-quality manmade fiber known for its strength, softness, and superior appearance compared to standard nylon. This innovative material not only enhances the aesthetic and durability of products but also aligns with sustainable practices."
YKK,Marietta,,United States,1001-5000 Employees,1934,"The company, YKK Americas, offers a range of nylon products, including the Nylon N0019-1 1/4″, highlighting their commitment to quality and innovative design in fastening and attaching solutions. Their vertically integrated structure ensures reliable supply and performance for customers."
Nylene USA,United States,,United States,51-100 Employees,,"Nylene is a leader in developing high-quality nylon polymers, copolymers, and compounds, which are utilized in various applications such as automotive parts, food packaging, and molded items. They offer specialty nylons and engineering thermoplastics, including sustainable options that incorporate recycled materials."
Nylon Consulting,London,,United Kingdom,1-10 Employees,2009,"Nylon Consulting is a management consulting service provider that focuses on corporate sustainability, public affairs, and strategic communications. They offer tailored advisory services to clients in the UK and internationally."
NYLON Search - Recruitment and Executive Search,New York,,United States,1-10 Employees,,"NYLON Search is an Executive Search and Recruitment Firm that specializes in identifying and hiring top talent, particularly in sectors like Banking, Capital Markets, and Fintech. Their expertise includes various areas such as Investment Management and Technology."
Aquafil,Arco,,Italy,1001-5000 Employees,1965,"Aquafil Group is a specialized manufacturer of nylon fibers and polymers, including Nylon 6 and Nylon 6.6, with a strong focus on sustainability through its flagship product, ECONYL® nylon, made from recycled materials. The company also produces textile yarns for various applications, particularly in the underwear, hosiery, and sportswear sectors."
Nylatech Inc,Everson,,United States,11-50 Employees,1995,"Nylatech is a prominent manufacturer of Cast Nylon 6 and 6/12 products, offering a comprehensive range of sheets, rods, and tubes in various grades, making it a key player in industries that require durable and cost-effective components. Their commitment to quality and precision machining ensures that their nylon products meet the high standards expected by original equipment manufacturers and other clients."
Shakespeare,Columbia,,United States,51-100 Employees,1897,"Shakespeare specializes in creating innovative nylon solutions, offering a range of durable and conductive nylon fibers that provide essential properties for various applications, including medical garments and industrial filtration. Their NOVADYN™ DT/DI Polyamide technology features advanced nylons with excellent transparency and chemical resistance, ideal for diverse end-use applications."
Coats plc,London,,United Kingdom,10001+ Employees,1755,"Coats is a prominent manufacturer of high-performance materials, including Webflex HEN, a high elongation nylon cotton specifically designed for use as a weft yarn in tyre cord fabric production. This innovative material features a special cotton that provides heat protection for the nylon core during the tyre fabric dipping process."
RTP Company,United States,,United States,1001-5000 Employees,1982,"RTP Company specializes in custom engineered thermoplastics, including Nylon 11 (PA), which is known for its low water absorption and good chemical resistance."
