name,city,state,country,employees,founded,description
Unilever Bestfoods North America,Englewood Cliffs,,United States,10001+ Employees,1872,"The company is a manufacturer specializing in a diverse range of consumer goods, including mayonnaise. It emphasizes sustainability and innovation across its portfolio, which features well-known brands like Hellmann’s."
Almunajem Foods Company,Riyadh,,Saudi Arabia,10001+ Employees,,"Almunajem Foods offers a product called ""MAYONNAISE DARI,"" available in a 300ml size, highlighting the company's diverse range of consumer goods."
Epic Foods (Pty) Ltd,Johannesburg,,South Africa,251-500 Employees,1997,"Epic Foods (Pty) Ltd aims to establish itself as a prominent brand in the food industry, highlighting its dedication to quality and integrity. They offer a range of products, including mayonnaise."
Acema Importations Inc.,Longueuil,,Canada,11-50 Employees,,"Acema Importations, Inc. is a prominent manufacturer and distributor of gourmet food products, offering a variety of specialty items, including mayonnaise. With a focus on quality and innovative flavors, Acema ensures that its products meet high standards, making it a notable player in the gourmet food market."
Jobeco Food,Dubai,,United Arab Emirates,11-50 Employees,2018,"Jobeco Food is a manufacturer and distributor of high-quality food products, including their Mayonnaise Original. The company's focus on delivering exceptional quality at affordable prices makes their mayonnaise a notable option for consumers seeking quality in emerging markets."
Mevia Foods,Fexhe-le-Haut-Clocher,,Belgium,251-500 Employees,2011,"Mevia Foods specializes in the production and distribution of a variety of food products, including mayonnaise. The company not only manufactures its own brands but also develops and markets products for other brands, offering comprehensive services that cater to market demands."
Custom Culinary,Lombard,,United States,1001-5000 Employees,1946,"Custom Culinary® offers a variety of culinary products, including their Master's Touch® Creamy Mayo Dressing, which highlights their commitment to quality and authenticity in food production."
Pure Food Processing Industries LLC,Dubai,,United Arab Emirates,11-50 Employees,2017,"Pure Food Processing Industries (PFPI) specializes in producing a variety of culinary condiments, including mayonnaise. Their American Gourmet mayonnaise is crafted using an authentic American recipe, ensuring a rich and creamy taste."
Stokes Sauces,East Suffolk,,United Kingdom,51-100 Employees,2004,"The company specializes in manufacturing a variety of sauces and condiments, including Mayonnaise. They emphasize using real food ingredients and offer unique recipes in different formats, catering to various customers across industries."
Iberia Foods,New York,,United States,101-250 Employees,1930,"Iberia Foods offers a rich and creamy mayonnaise that is ideal for a variety of classic recipes, enhancing dishes from tuna salad to pasta sauce. It pairs well with spices and herbs, making it a versatile ingredient for bold sauces and spreads."
