name,city,state,country,employees,founded,description
Recresco,Ashfield,,United Kingdom,251-500 Employees,1978,"The company, RECRESCO, emphasizes the importance of glass recycling as a means to reduce energy consumption and carbon emissions. Their commitment to turning old products into new ones highlights their focus on sustainable materials recycling."
Strategic Materials Inc,Houston,,United States,1001-5000 Employees,1994,"Strategic Materials has a long history in glass recycling, processing recycled glass into high-quality cullet that benefits various industries, including fiberglass and bead manufacturing. Their efforts not only reduce costs but also promote environmental sustainability by conserving natural resources."
Bywaters,London,,United Kingdom,251-500 Employees,1952,"Bywaters is a leading sustainable waste management company in London, dedicated to improving recycling efforts, particularly through its glass recycling services. Their ability to sort and crush various types of glass ensures these materials can be sustainably reused, aligning with their vision for a more sustainable future."
PreZero Deutschland,Porta Westfalica,,Germany,1001-5000 Employees,2018,"PreZero is actively engaged in developing innovative solutions for closing loops and conserving resources, particularly in the realm of glass recycling. They provide valuable information on the disposal and recycling of glass waste, emphasizing their expertise in transforming waste glass into a valuable raw material."
WestRock,Norcross,,United States,10001+ Employees,1953,"WestRock is a prominent manufacturer of sustainable packaging solutions, actively developing recyclable packaging that supports clients' sustainability goals. With a focus on innovation and responsible practices, the company emphasizes its commitment to creating environmentally friendly packaging options."
Suez,Maidenhead,,United Kingdom,5001-10000 Employees,1988,"SUEZ is a prominent provider of sustainable resource management solutions, offering glass recycling among its diverse services. Their commitment to innovative waste management contributes to effective recycling and environmental conservation."
Planet Green Recycling L.L.C,Dubai,,United Arab Emirates,11-50 Employees,,"Planet Green Recycling offers comprehensive waste management and recycling solutions, including glass waste recycling. Their commitment to sustainability and responsible waste management aligns with the growing concern for environmental impact."
Waste Management,Houston,,United States,10001+ Employees,1968,"WM is a prominent provider of recycling services, emphasizing their commitment to sustainability and resource recovery. Their extensive network of recycling facilities plays a crucial role in their integrated environmental solutions."
Bartscherer & Co. Recycling GmbH,Berlin,,Germany,251-500 Employees,1921,"The company is a leading recycling firm in Berlin, providing tailored waste disposal solutions for various sectors, including households. They emphasize their ability to offer appropriate containers and disposal concepts, which may include options for glass recycling."
Veolia UK,United Kingdom,,United Kingdom,1001-5000 Employees,1853,"Veolia UK is a prominent service provider dedicated to ecological transformation, emphasizing its commitment to sustainable practices and resource recovery. The company offers specialized glass collection services, helping businesses avoid landfill costs and supporting the circular economy through effective waste management solutions."
