name,city,state,country,employees,founded,description
Xylene,Ehningen,,Germany,1-10 Employees,2019,"Xylene is dedicated to providing transparency in international raw materials supply chains through innovative solutions that leverage blockchain and satellite data. Their comprehensive traceability systems enhance efficiency and simplify compliance, particularly in sectors like coffee, where they guarantee full transparency to customers."
DAXX,Houston,,United States,11-50 Employees,2011,"DAXX is a global manufacturer and service provider that specializes in supply chain solutions for the chemicals and plastics industries, offering products like xylene and related chemicals."
Recochem,Montreal,,Canada,501-1000 Employees,1951,"Recochem produces xylene, an aromatic hydrocarbon solvent known for its high solvency and versatility, making it essential in various coating formulations, including industrial enamels and epoxies. This highlights Recochem's capability to meet specialized needs in the chemical industry."
Solventis,Guildford,,United Kingdom,51-100 Employees,2002,"Solventis is a major chemical solvent supplier and producer of various industrial fluids, including xylene."
Abdullatif H. Abuljadayel & Sons CO.,Jeddah,,Saudi Arabia,251-500 Employees,1984,"The company, Abdullatif H. Abuljadayel & Sons Co, offers a specific product: Xylene, a mixture of isomers, which is available in a 2.5 L container and is suitable for general analytical applications."
TRINTERNATIONAL INC. - @TRIChemicals,Seattle,,United States,11-50 Employees,1994,"Catalynt is a manufacturer and distributor that offers xylene, a solvent composed of three benzene derivatives, commonly used in the printing, rubber, and leather industries."
Clariant Chemicals,Pratteln,,Switzerland,10001+ Employees,1956,"Clariant offers the TransMax® 100 Series catalysts, which enhance the production of paraxylene (PX) through toluene methylation, a process that adds methyl groups to the aromatic ring, effectively increasing xylene yields and minimizing the formation of unwanted by-products like benzene. This innovative solution addresses the industry's need for more efficient and sustainable xylene production."
Mopec,Madison Heights,,United States,101-250 Employees,1992,"Mopec Group offers Xylene in a 1-gallon container, sold in cases of four, which is essential for various laboratory applications. Their commitment to providing advanced products and solutions enhances diagnostic accuracy and safety in pathology and anatomy practices."
Petroquímicos Bretón,Girardot,,Colombia,1-10 Employees,1977,"The company specializes in the distribution of aromatic solvents, including Xylene, and has over 30 years of experience in the petrochemical sector. With a commitment to quality management, the company ensures high standards in its product offerings."
Essex Scientific Laboratory Supplies (ESSLAB),Tendring,,United Kingdom,11-50 Employees,1982,"ESSLAB offers a range of products, including p-Xylene, which is relevant to your query. The company specializes in chromatography and liquid handling equipment, making it a potential source for high-quality p-Xylene and related consumables."
