name,city,state,country,employees,founded,description
Polar Marine,Pendik,,Turkey,51-100 Employees,,"Polar Marine Group specializes in the sales and servicing of advanced marine electronic equipment, such as radar, echosounders, and navigation systems, making it a key player in the marine electronics sector."
marine-electronics.eu,Copenhagen,,Denmark,1-10 Employees,2010,"Marine-Electronics.eu is a reputable supplier of marine electronics, specializing in the global supply of NavCom spare parts. Their extensive experience and digital supply chain ensure that customers can find reliable, plug-and-play components, reducing the risk of delays often associated with obsolete parts."
Navico,Egersund,,Norway,1001-5000 Employees,2003,"Navico Group is a global leader in marine electronics, offering innovative and integrated solutions that enhance user experience on the water. Their smart, connected products ensure seamless connectivity and advanced systems for marine applications."
SM Group (Europe) Ltd - SMG,Plymouth,,United Kingdom,11-50 Employees,1972,"SM GROUP (EUROPE) is the largest value-added distributor of marine electronics in the UK and Ireland, with 50 years of experience serving a diverse clientele, ensuring a first-class service for all marine electronics needs."
MAX MARINE ELECTRONICS INC.,Pompano Beach,,United States,11-50 Employees,2011,"Max Marine Electronics is a premier provider of quality used and refurbished marine electronics in South Florida, specializing in renowned brands like Raymarine, Furuno, Garmin, Simrad, and Lowrance. They offer a diverse range of equipment, including radar, chart plotters, GPS units, and transducers, making them a go-to source for affordable marine electronic solutions."
Consolidated Electronic Distributors Corp. WE'RE HIRING MULTIPLE ROLES.,Rockledge,,United States,11-50 Employees,1971,"The company is a leading wholesale distributor of marine electronics and related products, serving all of North America. With a team of knowledgeable experts and a strong presence in marine trade shows, they are well-equipped to address all technical questions."
Master Systems,Dubai,,United Arab Emirates,251-500 Employees,1999,"Master Systems specializes in marine electronics, offering a wide range of products and services, including navigation equipment, satellite communication, and automation solutions. With a focus on quality and innovation, the company ensures reliable service and support, making it a key player in the marine electronics sector."
Marine Instruments,Nigrán,,Spain,51-100 Employees,2003,"Marine Instruments specializes in the development and manufacture of electronic equipment designed for marine environments, emphasizing innovation and sustainability in sectors like fishing and aquaculture. Their commitment to smart oceans and responsible resource management positions them as leaders in marine electronics."
Global Marine Sea Tech,Cape Town,,South Africa,11-50 Employees,1999,"Global Marine Sea Tech specializes in high-quality marine electronics, offering a range of products for navigation, communication, safety, and entertainment. Their portfolio includes renowned brands like Garmin and Raymarine, known for advanced GPS technology and high-performance marine electronics."
Marine Electricals (India) Limited,Mumbai,,India,501-1000 Employees,1978,"Marine Electricals is a leading supplier of Electrical & Automation Equipment for Marine Applications in India and the Middle East, emphasizing smart and sustainable solutions. With over 34 years of experience, they cater to diverse sectors including shipbuilding and the navy, ensuring high-quality industrial solutions."
