name,city,state,country,employees,founded,description
Carrs Billington Agriculture (Sales) Ltd.,Carlisle,,United Kingdom,251-500 Employees,,"Carr's Billington Agriculture offers a wide range of livestock equipment, including weighing scales, EID readers, and handling tools, designed to enhance farming operations. Their extensive selection supports the needs of rural and agricultural communities in Scotland, Northern England, and Wales."
Livestock Nutrition Center LLC,Memphis,,United States,251-500 Employees,1998,"The Livestock Nutrition Center specializes in providing tailored nutritional solutions for livestock producers, offering a range of products and services that enhance livestock health and productivity. Their commitment to high-quality ingredients and customized rations directly supports the nutritional needs of livestock."
Farmquip,Acebal,,Argentina,11-50 Employees,1981,"The company specializes in manufacturing a variety of livestock management equipment, including feedlot facilities, scales, corrals, and more, ensuring export-quality standards with over 25 years of experience. They also offer customized designs and maintenance services, making them a key player in the livestock equipment industry in Argentina and the Mercosur region."
Hi-Hog Farm & Ranch Equipment Ltd.,Calgary,,Canada,51-100 Employees,1974,"Hi-Hog Farm & Ranch Equipment specializes in livestock handling equipment, offering a diverse range of feeders, including round and square bale feeders, as well as innovative solutions like the Nifty Feed Dispenser for efficient feeding. Their commitment to quality and customer-focused design ensures that livestock operators have access to effective tools for managing and minimizing feed loss."
Eurogan SL,Alfajarín,,Spain,101-250 Employees,1964,"Eurogan is a prominent Spanish manufacturer that specializes in comprehensive livestock solutions, particularly for poultry and pig farming. With over 50 years of experience, the company offers a wide range of innovative livestock equipment, including feeding systems, climate control, and construction services, ensuring optimal conditions for modern agricultural practices."
iLivestock,Rosyth,,United Kingdom,11-50 Employees,2013,"iLivestock specializes in providing innovative software and hardware solutions for livestock farmers, particularly those managing sheep and beef cattle. Their offerings, including the iLivestock app and various weighing and EID recording systems, enhance livestock management, streamline data capture, and support informed decision-making, ultimately aiming to increase productivity and profitability for farmers."
Metalcorp,Greater Brisbane,,Australia,501-1000 Employees,2000,"Metalcorp is an Australian manufacturer and distributor that specializes in livestock handling equipment, offering a diverse range of products tailored to the needs of Australian farmers. Their extensive inventory includes solutions for cattle, sheep, goats, and horses, ensuring high-quality and durable options for effective livestock management."
LivestockCity,United States,,United States,1-10 Employees,2014,LivestockCity is a comprehensive online platform that provides herd management tools for efficient livestock record keeping and facilitates the sale of livestock and animal products through online auctions and classified listings.
Elanco,Greenfield,,United States,10001+ Employees,1954,"Elanco is a prominent leader in animal health, providing innovative products and services specifically designed to enhance the health of farm animals. Their offerings for livestock include solutions that prevent and treat diseases in cattle, dairy cows, poultry, swine, and fish, ultimately supporting sustainable food production and safety."
Zoetis,Parsippany-Troy Hills,,United States,5001-10000 Employees,2014,"Zoetis is a key player in the animal health industry, providing innovative solutions for livestock, including the Performance Ranch™ software that helps cow-calf producers manage health and performance data effectively. This platform enhances decision-making related to animal health and marketability through real-time insights."
