name,city,state,country,employees,founded,description
JONG STIT CO LTD,Thailand,,Thailand,1001-5000 Employees,1940,"The company is Thailand's leading manufacturer of virgin and recycled polyester fabric, offering a wide range of warp knit fabrics and other textile products. Their commitment to reducing environmental impact is evident in their diverse fabric types and designs, catering to various applications."
Wellknown Polyesters,Mumbai,,India,251-500 Employees,1996,"Wellknown Polyesters Limited is a leading manufacturer of polyester products in India, specializing in Twisted Polyester Yarn (TPY). Their expertise in producing high-quality yarns highlights their capability in the polyester fabric industry."
Dinesh Exports Private Limited,India,,India,251-500 Employees,1990,"Dinesh Exports is a prominent manufacturer and exporter of woven fabrics, including a variety of polyester fabrics. With a strong commitment to sustainability and over 25 years of experience, the company offers high-quality, eco-friendly textiles that cater to contemporary fashion needs."
Standard Textile,Sint-Martens-Latem,,Belgium,1001-5000 Employees,1940,"Standard Textile is a global manufacturer specializing in reusable textiles, offering a range of products including polyester pillows that combine strength and comfort, ideal for budget hotels and motels. Their emphasis on durability and sustainability through advanced fiber technology highlights their commitment to innovative textile solutions."
Shanghai Zhongyan Industrial CO.LTD.,Huangpu District,,China,11-50 Employees,2009,"The company emphasizes its commitment to fabric quality, featuring advanced testing equipment and expertise in technical protective fabrics. They offer a range of polyester fabrics, including 100% poly oxford, which is ideal for various applications like backpacks."
YKK,Marietta,,United States,1001-5000 Employees,1934,"YKK specializes in fastening products, including those made from polyester, such as their Polyester U0017-1"". The company emphasizes quality and reliability through its vertically integrated system, which supports the development and production of various materials and solutions for the textile industry."
Fashion Hometex,Thailand,,Thailand,251-500 Employees,1996,"The company, Fashion Hometex, specializes in manufacturing recycled polyester home textile products, offering a wide range of attractive designs and styles. With over 30 years of experience, they emphasize sustainability and quality, providing competitive pricing through a vertically integrated setup."
Rama Inc,Thane,,India,11-50 Employees,2014,"The RAMA Group is a premier trader and exporter of unique textile and fashion collections, including a focus on polyester fabrics, which highlights their diverse product range."
Fabricato,Medellín,,Colombia,1001-5000 Employees,1920,"The company is a Colombian manufacturer that offers a diverse range of textiles, emphasizing high-quality materials suitable for various garments and accessories, particularly in the fashion and jeanswear markets."
Union Fabrics Pvt. Ltd,-,,-,,,"Union Fabrics specializes in manufacturing a diverse range of woven fabrics, which may include polyester options, for various sectors like home textiles and furnishings. With a substantial annual production capacity and advanced facilities, the company ensures quality and flexibility to meet the demands of global buyers."
