name,city,state,country,employees,founded,description
Beeswax (Acquired by Comcast),New York,,United States,51-100 Employees,2014,"Beeswax, a product of FreeWheel, is a demand-side platform that specializes in automated media buying, offering clients advanced targeting models and bidding tactics. Their focus on agility and custom optimizations allows media buyers to take control of their advertising processes through programmatic and real-time bidding technologies."
makesy,Irvine,,United States,51-100 Employees,2015,"Makesy offers premium natural 100% beeswax pastilles, ideal for making candles, wax melts, lip balm, and body care products. These pastilles are clean burning, biodegradable, and ethically sourced, making them a sustainable choice for various applications."
Koster Keunen,Watertown,,United States,51-100 Employees,1852,"Koster Keunen is a leading provider of beeswax, offering a wide range of grades including sustainable yellow and white beeswax, 100% organic beeswax, and synthetic options. Their expertise in natural waxes and commitment to ethical sourcing make them a key resource for quality beeswax ingredients."
Beekeeper,Zurich,,Switzerland,101-250 Employees,2011,"Beekeeper is a service provider that offers a mobile-first platform designed to enhance communication and productivity for frontline workers. Their solutions aim to streamline operations and improve engagement, particularly in industries like retail, hospitality, and manufacturing."
Honeybee Wax,India,,India,51-100 Employees,1992,"Honeybee is a prominent manufacturer of depilatory waxing products in India, offering a variety of wax options that prioritize safety and effectiveness for hair removal. Their commitment to high-quality, cruelty-free, and vegan ingredients ensures that their products are suitable for sensitive skin."
YYC Beeswax Ltd,Calgary,,Canada,1-10 Employees,2015,"YYC Beeswax is a Calgary-based manufacturer that specializes in small batch beeswax products, offering a diverse range including beeswax candles, lip balm, and food wraps. The company also provides educational workshops on candle making and the importance of bees."
The British Wax Refining Company Ltd,Reigate and Banstead,,United Kingdom,11-50 Employees,1914,"The company, British Wax, specializes in manufacturing and blending a variety of natural and specialist waxes, including beeswax, which they source directly. Their expertise in wax formulation positions them as a key supplier for high-quality waxes used in various applications, including cosmetics and personal care products."
Poth Hille & Co Ltd,Tendring,,United Kingdom,11-50 Employees,1875,"Poth Hille is a leading supplier of beeswax, offering a variety of grades, including BP beeswaxes and alternative synthetic blends. They emphasize their commitment to natural and sustainable waxes, making them a reliable source for various applications such as lipsticks, balms, leather care, and wood care."
Bee Built,Milwaukie,,United States,11-50 Employees,2017,"BeeBuilt offers high-quality beeswax rendered from treatment-free beehives, ensuring it is free from pesticides and chemicals. This makes their beeswax an excellent choice for candles, balms, and crafts."
Little Bee of Connecticut,Southbury,,United States,1-10 Employees,2014,"The company specializes in non-toxic beeswax products, including candles and skincare items. Their pure beeswax bars have various applications, such as in arts and crafts, preventing tarnishing, and protecting tools from rust."
