name,city,state,country,employees,founded,description
CPS,Marlow,,United Kingdom,51-100 Employees,1995,"CPS is committed to Corporate Social Responsibility by actively measuring and reducing its carbon emissions, with a target to reduce them by 78% by 2030 and achieve Net Zero by 2045. Their dedication to environmental sustainability reflects their broader aim to excel in delivering value for clients and partners."
ICRS | The Institute of Corporate Responsibility & Sustainability,United Kingdom,,United Kingdom,251-500 Employees,2014,"The Institute of Corporate Responsibility and Sustainability (ICRS) serves as the UK's professional body for CSR practitioners, highlighting its commitment to promoting best practices in corporate responsibility and sustainability. With a diverse membership that includes students, academics, and consultants, the ICRS addresses the evolving landscape of ESG, emphasizing its importance for organizational success."
GLOBAL CSR,Copenhagen,,Denmark,1-10 Employees,1996,"GLOBAL CSR is a prominent consultancy specializing in Corporate Social Responsibility (CSR) and is recognized for its expertise in Business & Human Rights, contributing to the development of the UN Guiding Principles. They offer innovative solutions and a comprehensive approach to responsible business practices, emphasizing the importance of sustainable and effective strategies for companies."
Sedus Stoll,Dogern,,Germany,251-500 Employees,1871,The company emphasizes its commitment to Corporate Social Responsibility.
SR Asia (Social Responsibility Asia),India,,India,51-100 Employees,2012,SR Asia is dedicated to advancing sustainability and competitiveness in the region through its commitment to social responsibility. The organization has developed an Asian Roadmap that outlines goals and strategies for integrating social responsibility into daily business practices.
CSRJobs,Blaricum,,Netherlands,11-50 Employees,1990,"CSRJobs is an international career portal that specializes in jobs related to Corporate Social Responsibility, sustainability, and human rights. Their commitment to developing regenerative business models and enhancing global sustainability aligns with the principles of CSR."
Provis Estate Management,Abu Dhabi,,United Arab Emirates,251-500 Employees,2019,"Provis is dedicated to Corporate Social Responsibility through initiatives that focus on energy conservation, sustainability, ethical practices, and workplace diversity, reflecting their belief in doing well by doing good."
ERA Environmental Management Solutions,Lower Merion Township,,United States,101-250 Employees,1995,"The company, ERA Environmental, emphasizes its commitment to Corporate Social Responsibility by supporting charities like the Red Cross and promoting education through its bursary program. This dedication aligns with its mission to provide environmentally-focused solutions that help businesses meet regulatory standards and enhance their social impact."
WRS - Worldwide Recruitment Solutions,Wilmslow,,United Kingdom,51-100 Employees,2008,"WRS places a strong emphasis on Corporate Social Responsibility (CSR) and Environmental, Social, and Governance (ESG) initiatives, highlighting their commitment to sustainability and ethical practices. Their long-term strategic plans aim to promote a sustainable future while fostering equality, diversity, and inclusion within the organization."
Tiger Global,London,,United Kingdom,11-50 Employees,2008,"The company emphasizes its commitment to Corporate Social Responsibility (CSR) through sustainable and ethical manufacturing practices. They focus on delivering innovative products that align with their clients' values, ensuring transparency and a deep understanding of their brands' needs."
