name,city,state,country,employees,founded,description
Fabricfactorymumbai,India,,India,251-500 Employees,1971,"Puresilks specializes in manufacturing high-quality silk fabrics and accessories, offering a fantastic selection that caters to a global clientele. Established in 1971, the company is renowned for its exclusive silk products, making it a trusted source for those seeking luxurious fabrics for fashion and home decor."
Zhejiang Jiaxin Silk,Jiaxing,,China,1001-5000 Employees,1999,"Jiaxin Silk Corp., Ltd. is a prominent player in the silk industry, offering a complete vertical silk production chain that ensures high-quality silk fabrics. With over 35 years of experience, the company specializes in the development and bulk production of silk products, making it a reliable source for exclusive silk fabrics."
Sundari Silks,Chennai,,India,251-500 Employees,1998,"Sundari Silks specializes in traditional silk garments, offering a diverse collection that includes pure Kanjivaram silk saris and Banarasi sarees, perfect for special occasions and everyday wear."
East End Silks,Kolkata,,India,1001-5000 Employees,,"East End Silks is a leading manufacturer and exporter of silk fiber and yarns, particularly known for its high-quality Bengal silk products. The company's commitment to quality and sustainable practices, certified by DNV, underscores its mission to enhance the silk production process and promote Bengal as a premier silk hub."
Nalli Silk Sarees Pvt. Ltd.,Bengaluru,,India,5001-10000 Employees,1928,"Nalli Silk Sarees is a renowned manufacturer and retailer of high-quality pure silk sarees, offering a diverse range of exclusive collections. With a legacy since 1928, the company has become a trusted name for silk sarees, blending tradition with modern retail practices."
Fabric Pandit,Surat,,India,251-500 Employees,2019,"Fabric Pandit offers a premium silk fabric that features a unique textured surface, ideal for creating sarees, blouses, and home decor items. This lightweight and smooth silk, crafted from 100% polyester yarns, stands out for its non-slippery texture, making it a versatile choice for various fashion and decor applications."
Serica 1870,Follina,,Italy,11-50 Employees,1870,
Grace Fabrics International,Karachi Division,,Pakistan,1001-5000 Employees,1985,"Grace Fabrics specializes in premium unstitched cotton fabric, including their Club Silk Cotton line, which features a liquid ammonia finish for a natural shine and wrinkle resistance."
F. Schumacher & Co.,New York,,United States,501-1000 Employees,1889,"Schumacher specializes in high-end home decor products, including a variety of silk fabrics such as the Rustic Silk Matka in Ivory, highlighting their commitment to quality and imaginative design."
Fabricato,Medellín,,Colombia,1001-5000 Employees,1920,"The company is a Colombian manufacturer that offers a diverse range of textiles, emphasizing high-quality materials suitable for various garments and accessories, particularly in the fashion and jeanswear markets."
