name,city,state,country,employees,founded,description
Interactive Data Managed Solutions,Frankfurt,,Germany,1001-5000 Employees,1978,"FactSet offers a Quant Factor Library that empowers investment professionals to detect investment themes and construct portfolios using over 2,300 pre-calculated global equity data items. Their robust tools and analytics enable users to integrate reliable factor values and identify new sources of alpha, enhancing the portfolio management process."
Factor,New York,,United States,251-500 Employees,2019,"Factor is an independent service provider that specializes in Integrated Law, focusing on enhancing the efficiency and effectiveness of transactional legal work, particularly in contract lifecycle management. Their services, which include legal managed services and transaction management, aim to bridge the gap between legal and procurement functions, resulting in a 25% reduction in contract cycle time."
Banco BASE,Mexico,,Mexico,501-1000 Employees,1986,"Grupo Financiero BASE offers financial factoring as a short-term financing mechanism, enabling suppliers of large companies to access working capital. This service enhances treasury efficiency for both the accredited companies and their suppliers."
BPCE Factor,Charenton-le-Pont,,France,251-500 Employees,1984,"BPCE Factor is a seasoned factoring service provider with over 35 years of experience, specializing in tailored solutions that help small and medium-sized enterprises (SMEs) manage their cash flow by advancing payments on customer invoices. Their services include financing, credit insurance, and collection support, making them a valuable resource for businesses seeking to stabilize their finances."
Credemfactor S.p.A.,Italy,,Italy,51-100 Employees,1986,"Credemfactor specializes in factoring services, providing businesses with efficient credit transfer solutions through its digital platform, Fast Factoring Digitale. Their offerings include various factoring solutions that address working capital needs, such as Pro Solvendo and Pro Soluto, which help manage and finance commercial credits while mitigating insolvency risks."
MNG FAKTORİNG A.Ş.,Turkey,,Turkey,251-500 Employees,1999,
Crédit Agricole Leasing & Factoring,Montrouge,,France,1001-5000 Employees,1969,"Crédit Agricole Leasing & Factoring (CAL&F) is a prominent provider of factoring services, offering solutions for financing and managing trade receivables, which includes insurance and collection services. This specialization in factoring is part of their broader financial offerings tailored for businesses and professionals."
Societe Generale Corporate and Investment Banking - SGCIB,Nanterre,,France,10001+ Employees,1864,"Societe Generale Factoring specializes in factoring and supply chain finance, providing innovative solutions that enable companies to sell their receivables for immediate cash, thereby financing their operational cycles. With over 40 years of expertise, they offer dedicated services that cover debt financing, accounts receivable management, and protection against bad debts, making them a key partner for businesses seeking effective financial strategies."
FACTOFRANCE,France,,France,501-1000 Employees,1966,"Factofrance is a leading provider of factoring solutions, offering a comprehensive range of financial services designed to optimize cash flow and manage customer positions for B2B companies. Their factoring services include 100% compensation for unpaid invoices, ensuring businesses are protected against client insolvency."
Factoring KB a.s.,Capital City of Prague,,Czechia,11-50 Employees,1997,"Factoring KB is a financial services provider that specializes in domestic and international factoring solutions. As a member of Factors Chain International (FCI), it has a global network that enhances its capabilities in risk management and compliance."
