name,city,state,country,employees,founded,description
The Seaweed Company,Schiedam,,Netherlands,11-50 Employees,2018,"The Seaweed Company is dedicated to enhancing the food ecosystem through highly scalable seaweed solutions that promote sustainable agriculture and diets. Their sustainably harvested seaweeds offer unique flavors and nutritional benefits, making them a valuable ingredient in various culinary applications."
Seaweed,North Tyneside,,United Kingdom,1-10 Employees,2014,"The company emphasizes the numerous health benefits of their PureSea® range of seaweed ingredients, highlighting its potential for enhancing food, health, and nutrition. They are committed to educating and providing accessible seaweed products that can be easily integrated into everyday life, positioning seaweed as a vital component for the future of nutrition."
This is Seaweed Ltd.,Ireland,,Ireland,1-10 Employees,2015,"This is Seaweed focuses on innovative extraction processes that enhance the health benefits of seaweed for various applications, including human food, pet food, and biostimulants. Their commitment to a zero-pollution, low-energy approach positions them as leaders in the sustainable use of seaweed."
Cornish Seaweed Company,Falmouth,,United Kingdom,1-10 Employees,2012,"The Cornish Seaweed Company offers sustainably harvested, local, edible seaweeds as a healthy and nutritious alternative food source."
Mara Seaweed Ltd.,Glenrothes,,United Kingdom,11-50 Employees,2011,"The company is dedicated to leading the sustainable revolution in seaweed processing, highlighting its mission to create innovative, high-quality seaweed products that promote a greener future. They harvest and process a variety of seaweeds in Fife, Scotland, offering a range of seasonings and ingredients that cater to diverse culinary needs."
Roots Allotments,Bath,,United Kingdom,1-10 Employees,2022,"The company emphasizes sustainable gardening practices, promoting a no-dig allotment approach that reduces reliance on carbon-intensive food chains. They also offer a product called Seaweed Feed, which aligns with their commitment to providing natural goodness for growing."
SeaGrown,Scarborough,,United Kingdom,1-10 Employees,2018,"SeaGrown offers a diverse range of seaweed products, including food seasonings, beer, and natural soaps and creams, all made from hand-harvested Yorkshire seaweed that is 100% natural and wild-grown in the North Sea. Their commitment to sustainable seaweed farming contributes to the development of a new marine industry in the UK."
Mara Seaweed,City of Edinburgh,,United Kingdom,11-50 Employees,2011,"Mara Seaweed is dedicated to leading the sustainable revolution in seaweed processing, emphasizing the potential of this ocean resource to create innovative and high-quality products. They harvest and process seaweed in Fife, Scotland, offering a range of nutritious and delicious organic certified seaweed flakes."
HQ Seaweed,Vigo,,Spain,1-10 Employees,2016,"The company specializes in wholesale and distribution of various types of edible seaweed, including dehydrated, salted, frozen, and fresh wild varieties from the low estuary area. Their team has extensive experience and knowledge of the product."
Wild Irish Seaweeds Ltd,Ennis Municipal District,,Ireland,11-50 Employees,2014,"Wild Irish Seaweeds Ltd is a prominent supplier of natural, wild organic seaweed, catering to various industries, including food ingredients and cosmetics. With over 100 years of experience, they offer a range of seaweed products, highlighting their commitment to quality and sustainability."
