name,city,state,country,employees,founded,description
Deli Star Corp.,St. Louis,,United States,,,"Specializing in fresh, never-frozen protein solutions, delivering extended shelf life and an unmatched food safety record. Through culinary innovation, efficient manufacturing, and a resilient supply chain, Deli Star is trusted to meet the evolving needs of the B2B food industry."
Farmer John,Los Angeles,,United States,1001-5000 Employees,1931,"Farmer John offers a variety of fresh pork products, highlighting their commitment to supplying high-quality meats. Their legacy of enhancing flavor profiles contributes to their popularity in southern California."
Porky Products Inc.,Carteret,,United States,251-500 Employees,1961,"Porky is a worldwide distributor of pork, along with other meats, and has over 60 years of experience in providing high-quality products and services. They ensure timely delivery to over 1,400 supermarkets on the East Coast."
Baldor Specialty Foods Inc.,New York,,United States,1001-5000 Employees,1991,"Baldor Specialty Foods offers a selection of pork products, emphasizing their commitment to quality and timely delivery."
Farmland Foods,Kansas City,,United States,10001+ Employees,1959,"Farmland Foods specializes in high-quality pork products, offering a variety of options such as bacon, breakfast sausage, and smoked boneless ham."
Fancy Foods Inc.,New York,,United States,251-500 Employees,1981,"Fancy Foods Inc is a distributor of protein food products, including pork, serving the Retail, Wholesale, and Foodservice sectors in the NY, NJ, and Connecticut markets. The company emphasizes a diverse range of products and customized programs to meet the needs of health-conscious consumers."
Harvest Food Distributors,San Diego,,United States,501-1000 Employees,1989,"Harvest Food Distributors, founded in 1989, focuses on providing independent food companies with access to a wide selection of protein items, including pork. Their strategy emphasizes high fill rates and timely delivery, ensuring customers can easily obtain the pork products they need."
Karro Food Group,Norton-on-Derwent,,United Kingdom,1001-5000 Employees,2013,"Karro Food Group UK is a leading pork processor committed to high quality and animal welfare, aiming to be the first-choice pork supplier. They offer a diverse range of pork products, including fresh pork, bacon, and sausages, to meet customer demand."
Quality Pork Processors Inc,Austin,,United States,1001-5000 Employees,1989,"Quality Pork Processors is a leading producer of processed pork in the U.S., ensuring high-quality and humanely processed pork products that adhere to USDA standards. Their in-house production and packaging emphasize their commitment to safety and deliciousness in pork processing."
Vestey Foods International Ltd,London,,United Kingdom,51-100 Employees,,"Vestey Foods International specializes in the sourcing and distribution of quality pork products, along with a diverse range of other meats and food items. With a global presence in over 70 countries, the company ensures a rich understanding of customer and supplier needs, enhancing their ability to provide high-quality pork and related products."
