name,city,state,country,employees,founded,description
KG Denim Limited,Coimbatore,,India,1001-5000 Employees,,"KG Denim is a leading manufacturer of denim and apparel fabrics, serving top fashion brands globally. With a strong commitment to enabling fashion, the company has established itself as a key player in the denim industry."
Pacific Jeans,Chattogram,,Bangladesh,10001+ Employees,1984,"Pacific Jeans Limited is a prominent jeans manufacturer, exporting to over 50 countries, and is recognized for its advanced production facilities and commitment to quality."
CI JEANS S.A.S.,La Estrella,,Colombia,1001-5000 Employees,2003,"Jeans is a dedicated community that has been crafting high-quality jeans for top brands since 1993, emphasizing sustainability and a collaborative approach. Their commitment to evolving practices ensures that they continually enhance their production processes."
Jeans & Polo Ltd.,Dhaka,,Bangladesh,1001-5000 Employees,2008,"Jeans & Polo Ltd. is a manufacturer that specializes in producing denim apparel, particularly jeans. With a focus on quality and a dedicated in-house laundry section, the company meets the growing global demand for stylish denim garments."
J BRAND,Los Angeles,,United States,101-250 Employees,2005,"J Brand offers a collection of premium denim jeans, highlighting their focus on quality and style."
JEANIOLOGIE INC.,Montreal,,Canada,11-50 Employees,2002,"The company specializes in denim-related products, offering a diverse range of brands that emphasize high-quality fabrics and craftsmanship. Their commitment to premium quality at accessible pricing ensures that they meet consumer expectations for superior denim products."
Jeans Jeans Jeans,Bristol,,United States,11-50 Employees,,"Jeans Jeans Jeans is a retail company that specializes in denim products, offering a friendly and skilled service in a relaxed atmosphere."
Industrias Pacer,Choloma,,Honduras,251-500 Employees,1983,"The company operates in the clothing and textile industry, specializing in apparel and fashion, which includes a range of clothing products like jeans, aimed at enhancing beauty and style."
Jeans World,Elsterwerda,,Germany,11-50 Employees,,"Jeans.com is dedicated to providing a diverse selection of high-quality jeans, featuring styles ranging from classic fits to the latest trends. With a mission to be the ultimate destination for denim enthusiasts, they offer a curated collection that includes everything from 90's baggy jeans to modern skinny cuts."
JUAJEANS - The Professional China Wholesale Denim Jeans Supplier and Custom Manufacturer,Guangzhou City,,China,251-500 Employees,2012,"JUAJEANS is a prominent denim jeans factory in China, established in 2012, specializing in a wide range of jeans styles for men, women, and children, including skinny jeans, distressed jeans, and more. With over a decade of experience, JUAJEANS offers custom jeans manufacturing and has supplied denim products to over 1,000 buyers globally, making it a key player in the denim industry."
