name,city,state,country,employees,founded,description
STAR Madagascar,Antananarivo,,Madagascar,1001-5000 Employees,1953,"STAR is a prominent manufacturer in Madagascar's beverage industry, offering a variety of products that include energy drinks. With a robust production network and a commitment to quality, STAR ensures a steady supply of energy drinks to meet consumer demand."
"Vital Pharmaceuticals, Inc.",United States,,United States,101-250 Employees,1996,"Bang Energy is a manufacturer that specializes in innovative energy drinks and performance beverages, backed by extensive research. Their product lineup includes the Redline Max300 7-Hour Energy Shot, designed to provide a powerful boost."
Sunny Sky Products,Houston,,United States,251-500 Employees,2002,"Sunny Sky Products offers a diverse portfolio that includes energy drinks, showcasing their commitment to product innovation and quality. Since 2002, they have been a trusted supplier to various sectors, ensuring that they meet the beverage needs of their customers."
AtomicDrinks,Ranst,,Belgium,51-100 Employees,2001,"AtomicDrinks is actively involved in the energy drinks sector, having participated in the creation of Energy Drinks Europe, which represents the interests of European producers. The company's commitment to responsible marketing and its growing popularity among athletes highlight its significant presence in the energy drinks market."
Sunshine,Winston-Salem,,United States,11-50 Employees,2013,"The company specializes in Sunshine Sparkling Energy Waters and Good Energy Drinks, which are enriched with vitamins, electrolytes, and natural caffeine, offering consumers a refreshing boost without sugar."
WP Beverages Pepsi-Cola,Windsor,,United States,501-1000 Employees,,"WP Beverages specializes in the distribution of energy drinks from popular brands such as AMP, Starbucks, Rockstar, and Kickstart. Their focus on innovative marketing and exceptional service ensures a strong presence in the beverage sector."
Warrior Energy Drink,Los Angeles,,United States,251-500 Employees,2020,"Warrior Energy Drink specializes in innovative energy beverages that offer unique island-inspired flavors and functional ingredients. Their products are designed to provide sustained energy for workouts, enriched with essential vitamins and minerals to enhance overall well-being."
The Beverage Company,Johannesburg,,South Africa,1001-5000 Employees,2018,"BevCo is a prominent independent manufacturer and distributor of energy drinks in South Africa, offering a diverse portfolio that includes both local and international brands. Their commitment to high-quality products and efficient distribution ensures that they meet local tastes and preferences effectively."
Rush Energy Drinks Ltd,Preston,,United Kingdom,11-50 Employees,2003,"Rush Energy Drink Ltd is a UK-based manufacturer and distributor of energy drinks, known for its sleekly designed and smooth-tasting products that provide a refreshing boost. The company not only sells its energy drinks domestically but also distributes them in 13 countries, with plans for further international expansion."
Toro Loco Premium Energy,Colmenar Viejo,,Spain,11-50 Employees,2010,"The company specializes in producing premium energy drinks for athletes, featuring a unique formulation that uses natural caffeine from guarana and fruit-sourced sugars, making it a healthier option. Their product, TORO LOCO Energy Drink, is designed to provide functional energy while being suitable for diabetics and celiacs."
