name,city,state,country,employees,founded,description
Atlas Air,Town/Village of Harrison,,United States,1001-5000 Employees,2001,"Atlas Air provides a wide range of aircraft leasing services, including dry leases and ACMI arrangements, which help reduce capital costs while ensuring reliable cargo and passenger transport. With a diverse fleet of 747 and 767 aircraft, Atlas Air is equipped to meet various operational needs, offering both high-capacity seating and specialized cargo solutions."
Boeing Canada,Winnipeg,,Canada,10001+ Employees,1916,"The Boeing Company has a significant history in aircraft production in Canada, having established Boeing Aircraft of Canada in 1929 and subsequently producing various transport airplanes, including 362 PBY flying boats. The company's ongoing investments and expansions in Canada highlight its commitment to advancing aircraft manufacturing in the region."
CityJet,Dublin,,Ireland,501-1000 Employees,1992,"CityJet is a prominent provider of wet lease and charter services in Europe, operating a modern fleet of Bombardier CRJ900 aircraft. The company specializes in ""ACMI"" wet lease agreements, offering aircraft along with crew, maintenance, and insurance to customer airlines."
Airhub Aviation,Saint Julian's,,Malta,251-500 Employees,,"The company specializes in aircraft wet leasing and component dry leasing, along with comprehensive aircraft management services. Their expertise is further demonstrated by successful pre-purchase inspections and the acquisition of multiple Boeing 737-800 aircraft, enhancing their position in the aircraft leasing market."
Air Works Group,Gurugram,,India,1001-5000 Employees,1951,"Air Works is a prominent aviation services provider in India, specializing in maintenance, repair, and overhaul (MRO) for various aircraft, including fixed and rotary wing models. Their extensive expertise encompasses services for commercial and business aviation, making them a key player in the sector."
Air Charter Service,London,,United Kingdom,501-1000 Employees,1990,"Air Charter Service offers a diverse selection of aircraft, including helicopters, private jets, and executive airliners, catering to both business and leisure needs. Their cargo department provides a comprehensive range of cargo aircraft for various shipment sizes, ensuring efficient transportation solutions."
Boeing Commercial Airplanes,Chicago,,United States,10001+ Employees,1916,"Boeing is a prominent manufacturer in the aviation and aerospace sector, offering a wide range of aircraft parts and aftermarket solutions, including logistics and repair services. The company's commitment to enhancing operational safety and efficiency is evident through its comprehensive support for various aircraft components and services."
Airports Company South Africa,South Africa,,South Africa,1001-5000 Employees,1993,"Airports Company South Africa is a key player in the air transportation sector, managing nine airports and highlighting its commitment to efficient operations and infrastructure development. The company's international experience, including involvement in major airport expansions, underscores its expertise in enhancing air travel."
AerCap,Dublin,,Ireland,251-500 Employees,1995,"AerCap Materials is a prominent player in the aviation leasing sector, focusing on the leasing of aircraft, engines, and helicopters. With over 50 years of experience, AerCap provides extensive fleet solutions to a global customer base, highlighting its leadership in air freighter aircraft and helicopter leasing."
Duncan Aviation,Lincoln,,United States,1001-5000 Employees,1956,"Duncan Aviation is a leading provider of Maintenance, Repair, and Overhaul (MRO) services for business jets, offering a wide range of capabilities including airframe and engine maintenance, avionics installations, and aircraft management. Their commitment to quality and exceptional customer care ensures that aircraft operators receive comprehensive support and innovative solutions for their aviation needs."
