name,city,state,country,employees,founded,description
Crystal Associates,London,,United Kingdom,1-10 Employees,2019,"The company is dedicated to addressing the climate emergency and promoting sustainability through innovative building practices, improved waste management, and user-centric technology, all of which align with the principles of a circular economy."
The Circular Materials GmbH,Cologne,,Germany,1-10 Employees,,"The company specializes in developing and implementing comprehensive circular economy solutions, offering customized compounds and products made from recycled materials. Their expert teams work on various aspects, including material science and recycling strategies, to enhance sustainability and reduce resource consumption, effectively turning waste into valuable products."
Circular Economy Systems (CES),Sydney,,Australia,51-100 Employees,2018,"Circular Economy Systems is dedicated to enhancing recycling efficiency and sustainability through the development of Container Deposit Schemes. The company offers comprehensive support and innovative technology solutions that enable partners to recycle nearly 10 million containers daily, thereby driving the transition to a circular economy for beverage packaging."
Circular Economy Solutions GmbH (C-ECO),Göttingen,,Germany,11-50 Employees,2016,"C-ECO is dedicated to transforming traditional linear business models into successful circular economy practices, addressing the environmental pressures of the ""take-make-dispose"" approach. They design and operate services that promote the use of products through multiple life-cycles, positioning themselves as leaders in managing circular economy networks."
Ellen MacArthur Foundation,Cowes,,United Kingdom,101-250 Employees,2010,"The company is dedicated to developing and promoting the concept of a circular economy, which aims to eliminate waste and pollution while circulating products and materials at their highest value. Their mission is to accelerate the transition to this economic system, highlighting its potential to address global challenges like climate change and biodiversity loss."
Circul'R,Paris,,France,11-50 Employees,2017,"Circul'R is a dedicated service provider that facilitates the transition towards a circular economy by offering training, consulting, and community-building initiatives. Their focus on sustainability includes enhancing product longevity through repair, reuse, and reemployment strategies."
Circular Ecology,Worcester,,United Kingdom,11-50 Employees,2013,"Circular Ecology specializes in circular economy practices, offering resource efficiency services such as life cycle assessment and carbon footprinting. They also provide training and consultancy, emphasizing their expertise in sustainability and environmental impact."
Closedloop Solutions,Melbourne,,Australia,11-50 Employees,1998,"Closed Loop is dedicated to pioneering the circular economy, collaborating with businesses to reduce waste, reuse materials, and promote environmentally friendly practices. Their commitment is exemplified by initiatives like the partnership with Qantas, which successfully enhanced recycling efforts in the aviation industry."
UPCYCLEA,Paris,,France,11-50 Employees,2016,"Upcyclea is a BtoB service provider that specializes in software solutions to facilitate the transition to a circular economy. Their offerings include structured data to aid in decarbonizing assets and promoting recycling and resource efficiency, aligning with sustainable practices that support environmental and ecological goals."
ecos,Basel,,Switzerland,11-50 Employees,1987,"The company is committed to sustainability as a pathway for positive change, actively promoting the circular economy through innovative projects and initiatives in Switzerland. With a dedicated team, they provide sustainability consulting and project development, emphasizing the potential of the circular economy for organizations."
