name,city,state,country,employees,founded,description
Glass America,Elmhurst,,United States,251-500 Employees,,"Glass America is a prominent provider of auto glass repair and replacement services, offering solutions for all vehicle makes and models, both domestic and foreign. With a commitment to quality and customer service, they utilize OEM quality glass and provide convenient mobile service, ensuring fast and reliable repairs."
Apple Auto Glass Inc,Waltham,,United States,11-50 Employees,,"Apple Auto Glass® specializes in automotive glass services, offering expert windshield repair and replacement, as well as side and rear glass services. The company emphasizes high-quality results through industry-leading technology and personalized customer service, making it a one-stop shop for all automotive glass needs."
Carglass® Brasil,Barueri,,Brazil,1001-5000 Employees,1996,"Carglass® is a global leader in automotive glass replacement and repair services, offering a comprehensive range of solutions including eco-friendly windshield replacement and repairs. Their commitment to using products approved by major automakers ensures high quality and safety for vehicle glass services."
PG Glass,South Africa,,South Africa,501-1000 Employees,1952,"PG Glass is a prominent provider of auto glass repair and replacement solutions in South Africa, with over 100 years of experience. They offer a wide range of services, including windscreen repair and replacement for commercial vehicles, ensuring fast and reliable service through a network of fitment centers and mobile units."
WindshieldHUB.com,New York,,United States,51-100 Employees,2014,"WindshieldHUB specializes in auto glass replacement and installation, providing high-quality services with a focus on customer satisfaction. They offer free mobile service and certified technicians, ensuring quick and convenient windshield replacements and repairs."
Auto Windscreens,Chesterfield,,United Kingdom,251-500 Employees,1971,"Auto Windscreens is a prominent UK expert in automotive glass services, offering windscreen repair and replacement, including specialized ADAS recalibration. They work closely with insurance companies to provide efficient solutions for damaged vehicle glass."
Carglass,Courbevoie,,France,501-1000 Employees,1986,"Carglass® specializes in the replacement and repair of automotive glass, assisting over a million motorists annually with services that include windshield repair and ADAS camera calibration. With a strong presence in France and a commitment to high-quality service, Carglass® ensures efficient support for windshield-related needs."
JN Phillips Auto Glass,Woburn,,United States,251-500 Employees,1946,"JN Phillips Auto Glass is a family-owned provider that specializes in auto glass solutions, offering services like windshield replacement and repair. They emphasize quality materials, nationwide warranty coverage, and convenient service options, including mobile appointments."
Carlex,Nashville,,United States,1001-5000 Employees,1989,"Carlex is a leading manufacturer and supplier of premium automotive glass, specializing in replacement glass for the automotive industry. Their extensive product line includes windshields, side glass, rear glass, and roof glass, all crafted with a focus on quality, safety, and advanced technology, making them a key player in the auto glass market."
PGW Auto Glass,Cranberry Township,,United States,501-1000 Employees,,"PGW Auto Glass is a prominent supplier of auto glass and accessories, offering a wide range of high-quality products and ensuring reliable same-day and overnight deliveries to over 27,000 locations. With a strong distribution network and a commitment to supporting auto glass shops and installers, PGW is recognized as a premium aftermarket glass supplier."
