name,city,state,country,employees,founded,description
FutureFuel Corporation,Clarkton,,United States,501-1000 Employees,2005,"FutureFuel is a leader in custom toll manufacturing of specialty chemicals and has extensive experience in producing acetic acid. They emphasize a collaborative approach and can scale processes efficiently from lab to full production, ensuring that customer specifications are met with precision and safety."
Farmson Pharmaceutical Guj Pvt Ltd,Vadodara,,India,1001-5000 Employees,,"Farmson is a manufacturer of Glacial Acetic Acid (GAA) in India, highlighting its expertise in chemical production."
Life Supplies NV,Olen,,Belgium,11-50 Employees,2011,"Life SUPPLIES is a market leader in additives for the animal feed market, offering a wide range of products, including organic acids like acetic acid."
Universal Preservachem Inc.,United States,,United States,11-50 Employees,1963,"UPI offers Acetic Acid in reagent grade, highlighting its extensive product range of over 4000 natural ingredients and chemicals, making it a key supplier for those in need of high-quality chemical products."
Corbion,Amsterdam,,Netherlands,1001-5000 Employees,1919,"Corbion is a key player in the production of lactic acid and its derivatives, emphasizing sustainable and biobased chemical solutions. Their expertise in food preservation and functional blends may relate to acetic acid's applications in enhancing freshness and extending shelf life."
Química Delta,Mexico,,Mexico,251-500 Employees,1974,"The company is a leading distributor of basic oils and chemicals in Mexico, and it offers glacial acetic acid among its range of industrial chemicals and petrochemicals."
VTAR,Vadodara,,India,11-50 Employees,2016,"VTAR is actively involved in contract manufacturing and sourcing high-quality chemical products, including acetic acid, through strategic partnerships with reputable factories worldwide. Their commitment to quality and excellent service aims to enhance the efficiency of their customers' businesses."
Ambe Dye Chem,Ahmedabad,,India,1-10 Employees,1981,"Ambe Dye Chem is recognized for its commitment to quality and customer satisfaction, which has contributed to the strong demand for its specialty chemicals, including acetic acid. The company's focus on ethical standards and a dedicated team ensures that they maintain high quality and reliability in their products."
Gulf Income Trading Co (GIT),Dammam,,Saudi Arabia,11-50 Employees,2014,"GIT Chemicals offers a variety of chemicals, including Acetic Acid, highlighting its commitment to providing innovative solutions for diverse industries."
Orient Global Manufacturing Limited,Nigeria,,Nigeria,11-50 Employees,2006,"Orient Global Manufacturing Limited is positioning itself as a key player in the chemical processing industry in Africa, highlighting its commitment to sustainability and local production. They offer a range of chemical products, including acetic acid, which is essential for various applications in pharmaceuticals, cosmetics, and food industries."
