name,city,state,country,employees,founded,description
Allianz Türkiye,Turkey,,Turkey,1001-5000 Employees,1890,"Allianz offers convenient access to health services through their mobile app, allowing users to manage payments and contact support for medical referrals and ambulance services 24/7. Additionally, their Health Wallet feature enables policyholders to utilize their balance as discounts on individual supplementary and modular health insurance policies."
AXA Health,Tunbridge Wells,,United Kingdom,1001-5000 Employees,,"Advance, the company's corporate health insurance, aims to provide quick and direct access to care, enhancing employee wellbeing through programs that promote healthier lifestyles. It offers both practical and emotional support from experts, focusing on early intervention and fast access to resources for overall mental and physical health."
Excellus BlueCross BlueShield,City of Rochester,,United States,10001+ Employees,1932,"Excellus BlueCross BlueShield provides health insurance to nearly 1.5 million members, offering a wide range of affordable plans, including Medicare, medical, dental, and vision. Their extensive network of providers ensures easy access to care, reflecting their commitment to health improvement and financial security."
RELIGARE HEALTH INSURANCE (RHI),Gurugram,,India,5001-10000 Employees,2012,"Care Health Insurance offers a diverse range of health plans that provide cashless treatment at over 22,900 network hospitals, ensuring comprehensive coverage for emergencies and planned treatments. With a focus on modern medical advancements and a user-friendly app for policy management, Care Health Insurance has established itself as a leading provider in India, having settled over 38 lakh insurance claims."
United Health Care,Phoenix,,United States,501-1000 Employees,,"UnitedHealthcare is a specialized provider of health benefit plans and health insurance solutions, offering a range of coverage options for individuals and families, including Medicare and Medicaid. The company is committed to enhancing the health care experience by improving affordability and access, particularly for underserved communities."
Centene,St. Louis,,United States,10001+ Employees,1984,"Centene Corporation is a prominent healthcare organization that provides a wide range of health insurance solutions, particularly for uninsured and under-insured individuals. They specialize in government-sponsored programs like Medicaid and Medicare, and also offer marketplace insurance options, ensuring accessible and high-quality care for diverse populations."
Bupa,London,,United Kingdom,10001+ Employees,1947,"Bupa is an international healthcare company that provides a comprehensive range of medical services, including health insurance. With a commitment to innovation and customer-focused solutions, Bupa addresses critical health challenges and serves over 38 million customers worldwide."
OneInsure,Mumbai,,India,501-1000 Employees,2008,The company offers expert advisors who can assist with all your health insurance inquiries and recommend the best solutions tailored to your needs.
Red de Seguro Medico,San Miguel de Tucumán,,Argentina,5001-10000 Employees,,"The company provides modern medical protection plans that address the evolving health needs of clients, positioning itself within a quality-focused health coverage system."
Blue Cross Blue Shield Association,Chicago,,United States,501-1000 Employees,1929,"Blue Cross Blue Shield offers a comprehensive range of healthcare solutions, emphasizing their commitment to providing access to high-quality and affordable health insurance for all Americans. Their extensive network of doctors and hospitals, along with advanced analytics, ensures that nearly one in three Americans can rely on them for safe and effective healthcare coverage."
