name,city,state,country,employees,founded,description
Corporate Traveller Australia,Australia,,Australia,1001-5000 Employees,1993,"Corporate Traveller is a leading corporate travel management company in Australia, offering personalized services supported by a global travel network to simplify and enhance the corporate travel experience. With a focus on cost-cutting and time-saving solutions, they have earned the trust of 6,500 businesses to improve their travel management processes."
CTM Sport,London,,United Kingdom,251-500 Employees,,"CTM is an award-winning provider of innovative and cost-effective travel management solutions, emphasizing tailored services that enhance savings, efficiency, and safety for corporate travel programs. With a focus on customer service excellence and 24/7 support, CTM leverages technology and expertise to transform business travel and improve workforce productivity."
CTM - Corporate Travel Management,Charlotte,,United States,11-50 Employees,1990,"Corporate Travel Management (CTM) is dedicated to providing an exceptional travel experience for clients, emphasizing responsiveness and flexibility akin to a traditional travel agency. With a focus on maximizing travel budgets and a commitment to quality without long-term agreements, CTM positions itself as a valuable resource for hassle-free corporate travel planning."
BCD Travel,Utrecht,,Netherlands,10001+ Employees,1975,"BCD Travel specializes in Corporate Travel Management, offering a comprehensive range of services designed to enhance the travel experience for business travelers. With over 40 years of experience, they provide tailored solutions that improve safety, productivity, and cost-efficiency for organizations."
Travizon,Woburn,,United States,251-500 Employees,1973,"CTM specializes in providing tailored travel management solutions that enhance safety and efficiency for corporate travelers. With a strong focus on innovative travel technology and risk management tools, CTM ensures a comprehensive approach to corporate travel, helping businesses navigate challenges and optimize their travel programs."
Redfern Travel,Bradford-on-Tone,,United Kingdom,101-250 Employees,1937,"Corporate Travel Management (CTM) offers tailored travel management solutions that emphasize customer service excellence and innovative technology. With a strong reputation in the global travel sector, CTM provides effective strategies for enhancing savings, efficiency, and safety in corporate travel programs."
TravelPerk,Barcelona,,Spain,1001-5000 Employees,2015,"TravelPerk specializes in Corporate Travel Management and Business Travel Services, offering a comprehensive platform that combines freedom for travelers with control for companies. Their services include an extensive travel inventory, 24/7 support, and seamless integration with favorite apps, ensuring a streamlined and enhanced business travel experience."
Travel Leaders Corporate LLC,New York,,United States,1001-5000 Employees,2008,"Travel Leaders Corporate provides comprehensive corporate travel solutions that enhance convenience and productivity through an all-in-one mobile travel platform. Their experienced travel advisors focus on managing trip logistics, allowing your team to concentrate on their core mission."
GT Events,Hessle,,United Kingdom,11-50 Employees,2021,"Good Travel Management is a leading corporate travel management company that offers an innovative platform for real-time tracking of travelers and streamlines travel processes through advanced technology. Their services are tailored specifically to meet business needs, focusing on expense optimization, risk reduction, and providing round-the-clock support for a seamless corporate travel experience."
Corporate Traveller UK,London,,United Kingdom,5001-10000 Employees,1999,"Melon provides a comprehensive travel management solution that includes booking, safety, reporting, and expense tracking, making it ideal for corporate travel needs. Their platform also emphasizes sustainability through a CO₂ reporting dashboard, helping businesses manage their travel-related emissions effectively."
