name,city,state,country,employees,founded,description
Pandora,Copenhagen,,Denmark,10001+ Employees,1982,"Pandora is a prominent manufacturer of hand-finished jewellery, using high-quality recycled silver and gold to create accessible luxury pieces. Their commitment to sustainability and extensive distribution network highlights their focus on quality and responsible sourcing in the jewellery industry."
Charming Charlie,Houston,,United States,10001+ Employees,2004,"Charming Charlie specializes in women's fashion and jewelry, offering a diverse collection that includes the Assorted Color Fashionista Necklace. Their focus on affordable and stylish options makes it easy for customers to find unique pieces that celebrate personal style."
JEWELRY HUNT,Huangpu District,,China,51-100 Employees,2004,"Jewelry Hunt is dedicated to supporting fashion jewelry artists by providing a comprehensive platform that facilitates collaboration, sample development, and sustainable manufacturing. Their commitment to creating a vibrant community for designers opens up new opportunities for those in the costume jewelry sector."
Wholesale Jewelry Supply Co.,Cranston,,United States,11-50 Employees,1985,"Wholesale Jewelry Supply offers a wide range of high-quality jewelry materials, including various metal types and supplies for costume jewelry. Their experience and commitment to market trends ensure competitive prices and timely delivery, making them a key player in the jewelry findings industry."
ALEX AND ANI,East Greenwich,,United States,1001-5000 Employees,2004,"The company offers a vibrant Colorful Crystal Necklace from its ‘90s Nostalgia Collection, featuring baguette-cut glass charms in various bright colors, making it a playful and stylish accessory. Their commitment to eco-conscious and meaningful designs aligns with a lifestyle that values both beauty and sustainability."
Beads.US - Milky Way Jewelry,Dongcheng District,,China,251-500 Employees,2000,"GETS LIMITED is a professional manufacturer specializing in various types of jewelry, including Rhinestone Jewelry and a full range of finished products such as necklaces, earrings, and bracelets. With a strong production capacity and a commitment to quality, the company ensures competitive prices and prompt delivery, making it a valuable resource for costume jewelry and related supplies."
Jewelry Shop,San Francisco,,United States,251-500 Employees,2018,"The company specializes in jewelry, offering a diverse selection that includes earrings, necklaces, bracelets, and more, making it a great destination for both luxury and fashion jewelry."
Cool Jewels® by Phillips International Inc.,Hallandale Beach,,United States,51-100 Employees,1977,"Cool Jewels® by Phillips International LLC® provides a vast selection of wholesale fashion jewelry, including trendy and souvenir pieces. Their collection features various designs, catering to diverse tastes."
JinJiang Jewelry Limited,Jinhua,,China,251-500 Employees,1968,"L’aurora is a reliable jewelry manufacturer and wholesaler that offers costume jewelry, including pieces featuring rhinestones, which were adapted during the depression years to maintain production costs while still delivering a glamorous effect."
BaubleBar,New York,,United States,101-250 Employees,2010,"BaubleBar offers a vibrant collection of fashion jewelry, including statement pieces and everyday essentials like earrings, necklaces, and bracelets. Their selection features customizable options, allowing customers to create unique accessories."
