name,city,state,country,employees,founded,description
FurniTopper,Luoyang,,China,251-500 Employees,2018,"Furnitopper is a leading manufacturer of steel furniture in China, offering a diverse range of products including metal filing cabinets, lockers, desks, chairs, and storage shelves. With a strong focus on quality and design innovation, Furnitopper provides one-stop solutions for clients and exports its products to over 200 countries."
Dious Furniture Group Co. Ltd,Jiangmen,,China,1001-5000 Employees,,"Dious is a prominent commercial furniture manufacturer in China, offering a wide range of modern office furniture solutions. Their commitment to eco-friendly materials and customized designs may appeal to those interested in innovative furniture options."
HKZ INTERIOR DECORATION LLC,Dubai,,United Arab Emirates,51-100 Employees,2016,"HKZ Interior Decoration LLC is a leading supplier of metal furniture in Dubai, offering customized solutions that enhance both functionality and aesthetic appeal in commercial spaces. Their expertise in metal furniture manufacturing ensures high-quality products that align with clients' brand identities and business goals."
The Tube Creation Company Ltd,Thirsk,,United Kingdom,11-50 Employees,1995,"The company specializes in manufacturing steel furniture frames for the contract furniture industry, offering a wide range of products including table and bench sets, meeting tables, and unique pieces like coffee tables. With in-house fabrication and strong supplier relationships, they ensure high-quality metal furniture frames tailored to various uses."
Source Furniture,Miami,,United States,101-250 Employees,2008,"Source Furniture has significantly broadened its range of contemporary furniture, which may include metal options, and emphasizes high-quality manufacturing and a diverse selection of materials."
Advanced Furniture,Ebbw Vale,,United Kingdom,51-100 Employees,1979,"The company specializes in designing and manufacturing a variety of products, including metal-framed furniture, highlighting their extensive manufacturing capabilities and commitment to quality and service. With a focus on advanced furniture, they ensure efficient delivery and have a strong environmental commitment."
Steel Vintage,Bristol,,United Kingdom,11-50 Employees,2009,"Steel Vintage specializes in high-quality, handmade industrial-style furniture that combines traditional and contemporary techniques, ensuring durability and a minimal environmental impact. Their commitment to innovative design and craftsmanship makes them a notable player in the metal furniture industry."
Factory Furniture Ltd,Vale of White Horse,,United Kingdom,11-50 Employees,1986,"Factory Furniture is a British manufacturer that specializes in contemporary street furniture, utilizing materials like stainless steel and galvanised steel, which are key for creating durable metal furniture. With 28 years of experience, the company also offers bespoke design and manufacturing services, ensuring high-quality and sustainable products."
Vietnam Metal Hardware Co. Ltd,Ho Chi Minh City,,Vietnam,51-100 Employees,2018,"The company, Vietnam Metal Hardware Co., Ltd, specializes in custom-made high-end metal furniture, leveraging over 22 years of experience in metal manufacturing. Their expertise also includes precision machining and a wide range of color finishes, catering to luxury projects and a diverse market."
DongRong Furniture,China,,China,251-500 Employees,1995,"Dongrong is a professional metal furniture manufacturer that offers a wide range of products, including metal beds, tables, and storage solutions. With a strong reputation for quality and service since 1995, the company supplies dealers and wholesalers globally."
