name,city,state,country,employees,founded,description
ESL Gaming,Burbank,,United States,501-1000 Employees,2000,ESL FACEIT Group is a leading esports company dedicated to enhancing the gaming experience for a global community of players and fans. They focus on building vibrant gaming communities and creating unique experiences that celebrate esports and gaming culture.
Global Esports Federation,Singapore,,Singapore,251-500 Employees,2019,"The company is dedicated to building credibility in the esports community by organizing and promoting events, thereby enhancing the prestige of esports through professional and engaging experiences for participants and audiences."
EsportsXO,Bengaluru,,India,11-50 Employees,2020,"EsportsXO is a rapidly growing esports organization in India, known for its advanced online tournament management systems and a vibrant community of creators and athletes. With a mission to build a large community of gamers and recent funding to support expansion, EsportsXO positions itself as a key player in the esports landscape."
Gamers Lounge,Cairo,,Egypt,51-100 Employees,2014,Gamers Lounge is a prominent gaming organization in the MENA region that actively enhances the esports scene through its established gaming hubs and extensive experience. They offer comprehensive consultancy services and marketing strategies to brands looking to enter the esports industry.
eSports Middle East,Dubai,,United Arab Emirates,11-50 Employees,2014,"ESME (ESPORTS MIDDLE EAST) is a leading solution provider for gaming and esports operators in the Middle East, dedicated to helping them effectively reach customers in the Arabic market. With a range of services including events management and esports broadcasting, ESME supports operators in adapting to competitive new markets and growing their player base."
Dignitas,Newark,,United States,11-50 Employees,2003,"The company, Dignitas, is a prominent esports organization that competes in major online games, highlighting its involvement in the competitive gaming and digital sports industry."
Esports Integration,Gloucester Township,,United States,11-50 Employees,,"The company specializes in esports infrastructure, offering products and services like commentary desks, set design, and complete stage designs specifically for esports events. Their team of broadcast and design engineers focuses on delivering innovative audiovisual integration solutions to esports leagues and institutions."
Omaken Sports,Oslo,,Norway,1-10 Employees,2020,"The company is a prominent esports organization that specializes in competitive gaming and sports entertainment. They focus on organizing tournaments, managing professional teams, and providing training programs for gamers."
Estars Studios,Las Vegas,,United States,1-10 Employees,2016,"Estars is a leading competitive gaming production company that specializes in esports tournament management and streaming distribution. With over 20 years of experience, Estars partners with major game developers and platforms to create premium esports experiences, offering comprehensive services from production to marketing."
Esportsmaker,Rio de Janeiro,,Brazil,11-50 Employees,2019,"Esportsmaker is a specialized service provider in the esports sector, focusing on immersive championships and innovative projects. With a team experienced in gaming and esports, the company is dedicated to enhancing the national esports scene and supporting its growth both in Brazil and globally."
