name,city,state,country,employees,founded,description
Energias de Portugal,Lisbon,,Portugal,10001+ Employees,1976,"The company is committed to clean energy and is actively leading the energy transition, emphasizing its belief in green energy as a key component for a sustainable future. They are involved in the Windfloat Atlantic project, which highlights their dedication to innovative wind energy solutions."
Energy Wind & Renewables LTD.,Canada,,Canada,51-100 Employees,2018,"Energy Wind & Renewables is dedicated to delivering high-quality service to the wind energy sector, emphasizing safety and a commitment to sustainability."
EDP Renewables,Madrid,,Spain,1001-5000 Employees,,"EDPR is a leader in the renewable energy sector, with a strong focus on sustainability and innovation. Their robust development portfolio and market-leading operational capacity highlight their commitment to advancing renewable energy solutions."
ENERCON,Germany,,Germany,10001+ Employees,1984,"The company, ENERCON, highlights its commitment to advancing wind energy technology through the introduction of the E-Gondel in its EP5 program, which aims to significantly reduce the cost of electricity generation. They also emphasize the availability of crucial information regarding productivity and wind conditions, accessible anytime on your smartphone."
Nextera Energy,United States,,United States,10001+ Employees,1985,"The company is a leading manufacturer and provider of clean energy solutions, with a strong focus on wind energy generation. It aims to achieve a carbon emissions-free power sector by 2045, highlighting its commitment to renewable energy."
The Wind Power,Tournefeuille,,France,1-10 Employees,2005,"The Wind Power offers a comprehensive and regularly updated database specifically designed for professionals in the wind-turbine sector, providing both quantitative and qualitative data essential for multifactorial analyses."
Enel Green Power,Andover,,United States,1001-5000 Employees,2008,"Enel Green Power is a leader in renewable energy, managing 59.1 GW of capacity and producing clean energy through advanced technologies, including wind power. Their commitment to sustainable energy aligns with the growing demand for renewable sources like wind energy."
OW Ocean Winds,Madrid,,Spain,251-500 Employees,2020,"Ocean Winds is dedicated to developing offshore wind farms, aiming to accelerate the energy transition and generate clean energy worldwide. Their commitment to innovation and local economies positions them as a leader in harnessing offshore wind power for a sustainable future."
Enel,Rome,,Italy,10001+ Employees,1962,"Enel Green Power highlights its commitment to renewable energy production, which is a crucial aspect of the energy transition. With a focus on innovative projects and collaboration, the company is poised to contribute significantly to the development of sustainable energy solutions."
Wind1000,Santiago de Compostela,,Spain,251-500 Employees,2010,"The company specializes in the assembly and maintenance of wind farms, offering a range of services that support both on-shore and off-shore projects. With a dedicated team focused on renewable energy since 2010, they play a crucial role in the wind energy sector."
