name,city,state,country,employees,founded,description
Marketing Strategy,Boston,,United States,10001+ Employees,,"MarketingStrategy.com is a leading marketing strategy consulting firm that offers expert services in various areas such as digital marketing, branding, and content marketing. They focus on innovative tactics and strategy development, particularly for B2B SaaS solutions, supporting both startups and enterprises to enhance customer experience and drive sales."
Customer Passion Point Limited (CPPL),Lagos,,Nigeria,1-10 Employees,2011,"The company offers innovative and customized marketing consulting solutions aimed at helping entrepreneurs maximize their resources and create value. Their services guide businesses through all phases, from defining their mission and vision to achieving their goals."
M&C Saatchi London,London,,United Kingdom,1001-5000 Employees,1995,"The company is a creative agency that offers comprehensive marketing consulting services, including strategic consultancy and digital communications. Their marketing science practice transforms data into actionable insights, ensuring effective and clear solutions for clients."
Outreach Marketing,Lahore,,Pakistan,1001-5000 Employees,2011,"The company, a national marketing services and consulting firm based in Lahore, Pakistan, specializes in marketing and sales consulting, offering a comprehensive range of services designed to help businesses activate their brands and improve their market strategies."
Business Consulting Sp. z o. o.,Katowice,,Poland,51-100 Employees,1988,"The company specializes in comprehensive marketing and advertising services, including outdoor and out-of-home (OOH) advertising, which aligns with the query about marketing consulting. With dedicated teams focused on creative marketing communication, the company supports clients in enhancing their market visibility and reach."
BM Consulting,India,,India,11-50 Employees,2013,"BM Consulting is a digital marketing service provider with over 7 years of experience, specializing in helping businesses enhance their online presence and sales through various platforms. They offer a wide range of services, including content marketing, SEO, PPC, and social media optimization, tailored to boost brand recognition and drive conversions."
El Sol Strategic Consultants,Mumbai,,India,11-50 Employees,2007,"The company is a full-service brand consultancy and growth marketing firm, emphasizing strategy and data-driven insights to help clients achieve significant growth. With nearly two decades of experience, they specialize in influencer marketing, strategic partnerships, and PR, having successfully launched major campaigns that built strong brand equity."
Dentsu,Tokyo,,Japan,10001+ Employees,1901,"The company specializes in advertising, marketing communications, and public relations, offering services such as media planning, creative solutions, and data-driven strategies. With a focus on customer experience management and innovation, it aims to enhance client engagement and growth."
Kearney,Chicago,,United States,1001-5000 Employees,1926,"The company specializes in management consulting and offers a range of services that can help clients transform their ideas into practical outcomes. With a presence in over 40 countries, they emphasize creating tailored solutions in business management and strategic operations."
Marketing Works,Worthington,,United States,251-500 Employees,,Marketing Works is a B2B marketing and public relations firm that combines strategists and execution specialists to provide effective marketing consulting services for companies and organizations.
