name,city,state,country,employees,founded,description
Cryotherm GmbH & Co. KG,Kirchen (Sieg),,Germany,,,"Cryotherm is a german manufacturer of cryogenic sample storage containers for safe short- and long-term storage of biological and medical samples in liquid nitrogen. We also produce vacuum-insulated tanks and transfer lines for helium, nitrogen, oxygen, argon, and hydrogen."
Plug Power,Town of Colonie,,United States,1001-5000 Employees,1997,"Plug is at the forefront of the green hydrogen movement, developing a comprehensive ecosystem to produce affordable, zero-carbon hydrogen. With the largest green hydrogen plant in the USA and a strong portfolio of fuel cell technologies, Plug is making significant strides in transitioning to a net-zero economy."
Energys Australia,Melbourne,,Australia,11-50 Employees,,"Energys has been a pioneer in the Australian green hydrogen market for over a decade, focusing on making hydrogen technology practical and accessible. Their commitment to developing advanced systems and products positions them as a key player in advancing hydrogen as a sustainable energy solution for businesses and communities across Australia."
HDF Energy,Bordeaux,,France,51-100 Employees,2012,"HDF Energy is a prominent player in the hydrogen industry, focusing on the development of large-scale hydrogen infrastructure and multi-megawatt fuel cell technology. Their innovative approach integrates renewable energy sources with green hydrogen storage, aiming to provide stable and decarbonized power solutions for various sectors."
GreenHydrogenIndia,New Delhi,,India,251-500 Employees,,"The company is dedicated to advancing green hydrogen initiatives as a sustainable energy solution, playing a crucial role in climate change mitigation efforts through the development of renewable energy technologies."
HydrogenPro,Porsgrunn,,Norway,11-50 Employees,2013,"HydrogenPro is dedicated to advancing green hydrogen technology and systems, particularly through their innovative high-pressure alkaline electrolysers. Their commitment to R&D and strategic global presence positions them as key players in the transition to sustainable energy."
Norsk Hydro ASA,Oslo,,Norway,10001+ Employees,1905,"Hydro is actively involved in the hydrogen sector, developing new business opportunities related to hydrogen and renewable energy. With a strong commitment to sustainability and a goal to reduce CO2 emissions, Hydro positions itself as a key player in the transition to cleaner energy sources."
Electric Hydrogen Co.,Natick,,United States,51-100 Employees,2020,"Electric Hydrogen is focused on delivering cost-competitive, fossil-free hydrogen solutions, particularly for hard-to-decarbonize industries like ammonia and steel production. Their commitment to developing low-cost, high-efficiency green hydrogen systems directly addresses the challenge of reducing emissions in heavy industry."
GKN Hydrogen,Bruneck - Brunico,,Italy,251-500 Employees,2021,"GKN Hydrogen is dedicated to combating climate change by providing clean energy solutions, specifically through the development of reliable and safe hydrogen storage systems. They focus on storing green hydrogen derived from renewable sources like solar, wind, and hydro energy, thereby playing a crucial role in the transition to a sustainable energy future."
AEG Power Solutions,Markham,,Canada,1001-5000 Employees,1887,"The company is dedicated to providing innovative solutions that support the transition to renewable energy and reduce carbon footprints. Their expertise in power supply and conversion systems includes a focus on DC power supply for green hydrogen production, specifically aimed at decreasing carbon emissions in metal production."
