name,city,state,country,employees,founded,description
MeUndies,Culver City,,United States,101-250 Employees,2011,"MeUndies is a leading manufacturer and retailer of comfortable and stylish underwear for both men and women, having pioneered the online underwear subscription model. With a strong focus on quality and customer service, the company has sold over 23 million pairs of underwear since its founding in 2011."
Attindas Hygiene Partners,Raleigh,,United States,1001-5000 Employees,1980,"Attindas Hygiene Partners specializes in absorbent personal care solutions, including the Attends brand, which offers a range of protective underwear designed for managing severe incontinence. Their product line features the Attends XXXL Bariatric Protective Underwear, catering to larger bodies and emphasizing innovation and user dignity."
PT BUSANAREMAJA AGRACIPTA,Indonesia,,Indonesia,5001-10000 Employees,1993,"The company specializes in the development and manufacturing of women's intimate products, emphasizing fit, comfort, and sustainability. With a significant production capacity and a focus on design and efficient manufacturing, they are well-equipped to meet diverse underwear needs."
MAS Holdings,Colombo,,Sri Lanka,10001+ Employees,1987,"MAS Holdings is a leading manufacturer of intimate apparel, emphasizing sustainable and ethical production. Their subsidiary, MAS Intimates, focuses on creating innovative lingerie, making them one of the largest producers of intimate wear globally."
Shantou Xiangkui Underwear Co.Ltd,Shantou,,China,251-500 Employees,2006,"Shenzhen Thunder Fashion Co., Ltd. is a specialized OEM and ODM supplier of various types of underwear, including shapewear, activewear, maternity/nursing, and menstrual underwear, with a monthly output of 600-800K units."
Understatement Underwear,Stockholm,,Sweden,11-50 Employees,2017,"Understatement is dedicated to redefining women's underwear by prioritizing comfort and eliminating uncomfortable features like underwire and restrictive padding. Their collections, produced by certified European and Turkish partners, focus on empowering women and promoting gender equality, ensuring that every piece is designed to complement every body."
Spanx,Eau Claire,,United States,501-1000 Employees,2000,"SPANX specializes in women's lingerie and shape-enhancing undergarments, offering a range of products designed to provide a flattering fit. Their Undie-tectable® Brief is particularly notable for its smooth look under clothes, thanks to features like a bonded waistband and elastic-free edges that eliminate visible panty lines."
ST. EVEN,Medellín,,Colombia,501-1000 Employees,1989,"The company specializes in the production of high-quality women's underwear, featuring a range of designs and materials. Their offerings include the Cachetero Invisible, a semi-thong that fits perfectly and is made from microfiber, ensuring no visible lines under outer garments."
Fruit of the Loom,Bowling Green,,United States,10001+ Employees,1851,"Fruit of the Loom, Inc. offers a variety of comfortable underwear for the whole family, emphasizing quality and style. Their commitment to sustainability and diverse product range makes them a notable choice for family apparel."
Shantou Ladymate Apparel Co.Ltd,London,,United Kingdom,251-500 Employees,,"Shantou Ladymate Apparel Co., Ltd specializes in the production of a wide range of lingerie, including plus size and standard size options, as well as swimwear and sleepwear. With a focus on quality and custom manufacturing, they aim to bring innovative underwear concepts to life for their clients."
