name,city,state,country,employees,founded,description
Procter & Gamble Company,Cincinnati,,United States,10001+ Employees,1837,"P&G is a prominent manufacturer of consumer goods, offering trusted brands like Oral B®, which is known for its oral care products, including toothpaste. The company's focus on innovative solutions enhances everyday life for billions of consumers globally."
Purexa,India,,India,51-100 Employees,2020,"PUREXA, a brand by Purexa Global Private Limited, offers a diverse range of innovative oral care products, including various types of toothpaste such as Sensitivity Toothpaste, Healthy Gums+ Toothpaste, and Probiotic Toothpaste. With a focus on enhancing oral health and wellness, PUREXA's products are developed by leading dentists and backed by extensive research."
Procter & Gamble,Cincinnati,,United States,251-500 Employees,1828,"Procter & Gamble (P&G) is a prominent manufacturer of consumer goods, including personal care products like Oral B®, which is known for its toothpaste offerings. The company's commitment to innovation and sustainability enhances everyday life for millions of consumers globally."
PÄRLA,London,,United Kingdom,1-10 Employees,2020,"PÄRLA offers innovative toothpaste tabs that are designed by dentists to provide several benefits over traditional toothpaste, emphasizing sustainability and convenience with a subscription model. Their commitment to reducing CO2 emissions and creating eco-friendly oral care products makes PÄRLA a forward-thinking choice for dental hygiene."
Dentissimo Professional Oral Care Toothpaste|Toothbrush| Dentists|FMCG|Distribution|Dental|EU,Widnau,,Switzerland,51-100 Employees,2016,"Dentissimo Professional Oral Care offers a unique range of specialized toothpastes that emphasize regeneration, restoration, and remineralization. The company combines natural ingredients with innovative formulas, catering to diverse consumer needs for effective oral hygiene products."
WillyWhyte Toothpaste,India,,India,51-100 Employees,,"WillyWhyte offers a range of oral hygiene products, including toothpaste, developed by experienced dentist Dr. Jiju John. The company's commitment to innovation and quality aims to promote healthier teeth and prevent dental issues."
Oral B,Leicester,,United Kingdom,51-100 Employees,,"Oral-B offers Pro-Expert Advanced Extra Whitening Toothpaste, which is professionally designed and clinically proven to enhance oral care."
SNOW,Phoenix,,United States,11-50 Employees,2017,"Snow is a manufacturer of innovative oral care products, including a sensitivity relief toothpaste that effectively whitens teeth without causing sensitivity. Their focus on high-quality, research-backed formulations ensures consistent results for oral hygiene."
TePe,Malmo,,Sweden,251-500 Employees,1965,"TePe is a manufacturer of oral hygiene products that emphasizes preventive dental care and long-term oral health. Their offerings, endorsed by dental professionals, aim to improve oral health practices, highlighting the importance of interdental cleaning."
Bhavi Group,Mumbai,,India,251-500 Employees,,"Bhavi Group is a reliable manufacturer and exporter of various oral care toothpaste products, including fluoride and non-fluoride options, as well as whitening toothpaste."
