name,city,state,country,employees,founded,description
YKK,Marietta,,United States,1001-5000 Employees,1934,"The company, YKK, offers a diverse portfolio of fastening products, including zippers, and emphasizes innovative design and manufacturing to minimize environmental impact. Their vertically integrated approach ensures high quality and reliability, allowing for customized solutions that enhance performance and reduce manufacturing costs."
Engraven Card Co,Boise,,United States,11-50 Employees,2021,"The company specializes in fully custom metal credit and debit card upgrades, highlighting their premium laser engraving services and commitment to quick delivery."
KAO SHING ZIPPER CO. LTD.,Taichung,,Taiwan,,,"The company, KAO SHING ZIPPER CO., LTD., specializes in the manufacturing of a diverse range of zippers, including nylon, plastic, metal, and waterproof options, along with custom sliders and zipper-making machines. Established in 1980, they prioritize quality and offer professional assistance for zipper-related manufacturing processes."
Zipper-Technik GmbH,Neu-Isenburg,,Germany,51-100 Employees,1965,"Zipper-Technik is a leading manufacturer of innovative and professional solutions related to heat protection, cable protection, EMI shielding, and mounting systems."
YKK Norway,Oslo,,Norway,10001+ Employees,1934,"YKK is a leading producer of fastening products, including zippers, and has established industry standards for quality and innovation. Their commitment to delivering high-quality zippers and other fastening solutions aligns with their philosophy of continuous value creation through innovative ideas."
Zipper,United States,,United States,1-10 Employees,2020,"Zipper is a platform designed to transform Typescript functions into modern web applications, facilitating quick web service development. It offers features like a customizable applet directory and built-in tools for easy IT and security approval, streamlining the software development process."
Zippsafe AG,Opfikon,,Switzerland,11-50 Employees,2016,"The Zippsafe system aligns perfectly with the company's forward-thinking philosophy, emphasizing user-friendliness, space efficiency, and digital integration."
YKK (Türkiye) A.Ş.,Sarıyer,,Turkey,501-1000 Employees,1991,"YKK produces zippers that meet the highest quality standards, making it a leader in the industry. They offer a wide variety of textile and plastic accessories, including innovative designs suitable for fashion and industrial applications."
ZIP-PAK an ITW Company,Carol Stream,,United States,251-500 Employees,,"Zip-Pak, a division of Illinois Tool Works, offers innovative resealable packaging solutions, including the Safety-Lok™ child-resistant zipper, designed for easy adult access while deterring children. Their Inno-Lok® system further enhances convenience with flexible closures suitable for various markets and products."
YKK Mexicana S.A. de C.V.,Irapuato,,Mexico,251-500 Employees,,"YKK is a leading manufacturer of high-quality zippers, serving various industries such as clothing, automotive, and medical gear. With over 25 years of experience, YKK ensures the durability and reliability of its fastening products, making them suitable for applications ranging from everyday wear to specialized equipment."
