name,city,state,country,employees,founded,description
SaMasz Sp. z o.o.,Zabłudów,,Poland,1001-5000 Employees,1984,"SaMASZ is a prominent Polish manufacturer of farming and municipal machinery, which includes snow ploughs, and has established a reputation for innovation and high-quality products."
Covia,Independence,,United States,1001-5000 Employees,1970,"The company offers BESTSAND™ white bunker sand, which is used in many top golf courses, ensuring high performance and aesthetic appeal for both professionals and casual players."
Spiel-Bau GmbH,Brandenburg an der Havel,,Germany,51-100 Employees,1991,"Spiel-Bau GmbH offers a variety of playground equipment, including sandboxes, crafted from environmentally friendly materials that ensure safety and high quality. Their focus on unique designs and personalized service makes them a reliable partner for creating engaging play areas."
Schenck Process India,Darmstadt,,Germany,10001+ Employees,1975,"Schenck Process is a global technology provider that specializes in applied measuring and process technology for various industries, including performance materials. They offer a range of solutions, including the MULTIRAIL® SandPiper, a mobile sand filling system, highlighting their expertise in innovative material handling solutions."
SandBox Logistics,Houston,,United States,501-1000 Employees,2013,"SandBox Logistics specializes in proppant logistics for the oil and gas industry, providing efficient storage, handling, and delivery solutions for sand used in hydraulic fracturing. Their innovative approaches not only streamline operations but also reduce silica dust and noise pollution, making frac operations safer and more environmentally friendly."
SAND Geophysics Limited,Eastleigh,,United Kingdom,11-50 Employees,2013,"SAND Geophysics Ltd specializes in advanced survey and consultancy services, particularly for offshore infrastructure planning, environmental monitoring, and unexploded ordnance detection. Their expertise includes ultra-high resolution seismic data acquisition and processing, making them a key player in enhancing current capabilities through innovative technologies."
GeoSand/Geomix,Vythiri,,India,251-500 Employees,2012,"GeoSand is a manufacturer and supplier of high-quality manufactured sand, positioning itself as a trusted source for construction materials in Kerala. Their products include Msand, which is recognized as a complete substitute for river sand."
River Sands Pty Ltd,Logan City,,Australia,51-100 Employees,1974,"River Sands is a leading supplier of high-quality dried sands, offering a clean and consistent product suitable for various applications, including construction and bioretention. Their USGA graded sand ensures healthy, nourished turf, making it ideal for both trade and DIY markets."
Capital Sand Company,United States,,United States,251-500 Employees,1973,"Capital Sand is a trusted sand mining, production, and distribution company in the Midwest, offering high-quality materials from the Crowley’s Ridge deposit and providing shipping and transloading services."
Dansand A/S,Brædstrup,,Denmark,11-50 Employees,1971,"The company provides high-quality silica sand products, essential for various applications such as well drilling and water treatment. Their Blueguard® solution effectively filters heavy metals from surface water, and they offer specialized sand for golf courses and construction, ensuring that customers can find the exact sand product they need."
