name,city,state,country,employees,founded,description
Basecamp,Los Angeles,,United States,251-500 Employees,,"BC LiveBold offers a wide range of outdoor camping gear and equipment, including backpacks and sleeping bags, perfect for your next adventure."
UK Camping and Leisure,Northampton,,United Kingdom,11-50 Employees,2022,"UK Camping and Leisure is dedicated to providing high-quality and innovative camping products, including tents, sleeping bags, and portable cookware, making it a go-to destination for outdoor enthusiasts. Their extensive selection from trusted brands ensures campers have access to durable equipment and expert advice for an enhanced outdoor experience."
Basecamp Ireland,Dublin,,Ireland,251-500 Employees,,"Basecamp is dedicated to providing high-quality camping equipment and outdoor gear, making it a great resource for adventurers. They offer a variety of products from top international brands, ensuring that customers have access to durable and reliable gear for their outdoor pursuits."
Campmor Inc.,Mahwah,,United States,11-50 Employees,1978,"Campmor is your one-stop shop for camping and hiking gear, offering a wide range of products from tents to backpacks. With a commitment to customer satisfaction, they provide a full refund policy within 90 days, ensuring you can explore the great outdoors with confidence."
Kamperest,Ümraniye,,Turkey,11-50 Employees,2015,"The company specializes in outdoor and camping equipment, offering a wide range of products from prestigious brands, making it a key destination for outdoor enthusiasts and adventure seekers in Turkey."
Outbaxcamping,Sydney,,Australia,11-50 Employees,2012,"Outbax is a Sydney-based retailer specializing in camping and outdoor equipment, known for offering quality products at low prices. With a dedicated team and a wide range of camping gear, they have built a strong reputation for meeting all your outdoor needs."
PJ Camping Ltd,St Albans,,United Kingdom,11-50 Employees,1984,"PJ Outdoors is dedicated to making camping accessible for everyone, offering a wide selection of over 2500 products from top outdoor brands. They provide everything you need for a successful camping trip, from tents to essential tools and furniture, ensuring a stress-free experience."
Outdoor Warehouse,Cape Town,,South Africa,501-1000 Employees,,"The company specializes in providing a wide range of high-quality camping equipment and outdoor gear, catering to enthusiasts with expert guidance and maintenance tips."
ecocampor,Foshan,,China,251-500 Employees,1983,"Ecocampor is dedicated to enhancing the camping experience for outdoor adventurers by continuously improving their campers and caravans. As a certified RV manufacturer, they focus on delivering high-quality camping equipment that makes outdoor exploration more enjoyable."
Forest City Surplus,London,,Canada,11-50 Employees,1980,"The company offers a diverse range of camping gear and supplies, highlighting their specialization in surplus products. With a history of operation since 1980 and an online presence, they provide high-quality camping equipment to customers across North America."
