name,city,state,country,employees,founded,description
ACE UNION,Manchester,,United Kingdom,251-500 Employees,2022,"ACE Money Transfer is a financial services provider that specializes in remittance and money transfer solutions, offering a user-friendly platform and mobile app for fast and secure transactions. The company focuses on simplifying the fund transfer process for both individuals and businesses."
WorldRemit,London,,United Kingdom,1001-5000 Employees,2010,"WorldRemit offers a fast, secure, and convenient way to send money across borders, with a complete waiver of service fees for the first three transfers. Their competitive exchange rates and regulatory compliance ensure that your money goes further and is protected during the transfer process."
ACE Money Transfer,Burnley,,United Kingdom,251-500 Employees,2002,"ACE Money Transfer offers a 24/7 online money transfer service to numerous destinations worldwide, ensuring convenience for sending money abroad. Their customer-centric approach is reflected in their positive reviews, highlighting their commitment to meeting the needs of users."
Remit Choice Limited,Sheffield,,United Kingdom,251-500 Employees,2019,"Remit Choice aims to be the top choice for global money transfers, offering a seamless online platform for sending money to various destinations. Their commitment to 24/7 service and secure transactions ensures that customers can easily and reliably transfer funds to their loved ones abroad."
Remitly,Seattle,,United States,1001-5000 Employees,2011,"Remitly ensures that every money transfer is delivered on time, with a promise to refund fees if this commitment is not met. They offer various delivery methods, including bank account, mobile wallet, or cash pickup, making it easy to send money abroad quickly and securely."
Travelex,London,,United Kingdom,1001-5000 Employees,1976,"The company is a leading provider of foreign exchange and offers a variety of remittance and international money transfer products. Customers can conveniently transfer money through their network, with options for in-store pickup or home delivery."
Global Money Express Co. Ltd.,Seoul,,South Korea,51-100 Employees,2016,"The company is a leading Money Transfer Service Provider in South Korea, offering a variety of financial services including remittance and payment solutions. With a focus on customer-centric technology and 24/7 support, it facilitates secure and cost-effective money transfers, making it a top choice for both personal and business accounts."
TransferGo,London,,United Kingdom,101-250 Employees,2012,"TransferGo is a digital money service that enables users to send and receive money internationally with low fees and high speeds. With a presence in over 160 countries and a commitment to customer support and regulatory compliance, TransferGo offers a secure and easy-to-use platform for instant money transfers."
HB Money Transfer,Glasgow,,United Kingdom,251-500 Employees,2006,"The company is a well-reputed and established entity in the money transfer industry, recognized by the Financial Conduct Authority (FCA) as an Authorized Payment Institution. Their mission is to provide a swift, secure, and cost-effective money transfer experience, enabling customers to send money internationally within minutes, 24/7."
Intermex Wire Transfer LLC,Miami,,United States,501-1000 Employees,1994,"Intermex is a prominent provider of money transfer services, allowing consumers to send funds from the United States to numerous countries in Latin America, the Caribbean, and Africa. With a vast network of agents and digital remittance options, Intermex ensures safe and secure transactions for its customers."
