name,city,state,country,employees,founded,description
Nitric Acid,India,,India,51-100 Employees,,"The company is a trusted distributor of various grades of nitric acid, including Strong Nitric Acid 68%, Dilute Nitric Acid 60%, and Nitric Acid 55%. These products are essential for industries such as dye manufacturing, pharmaceuticals, and metallurgy."
"KBR, Inc",Houston,,United States,10001+ Employees,1919,"KBR specializes in the concentration, purification, and recovery of nitric acid, utilizing state-of-the-art processes and modern technology to meet specific requirements."
Life Supplies NV,Olen,,Belgium,11-50 Employees,2011,"Life SUPPLIES is a market leader in additives for the animal feed sector, offering a wide range of products, which may include nitric acid. They position themselves as a supportive partner to help achieve and exceed goals."
CF Industries Holdings,Deerfield,,United States,1001-5000 Employees,1946,"The company emphasizes its commitment to environmentally responsible manufacturing and pollution prevention, which aligns with the broader context of clean energy and emissions abatement. Their focus on energy efficiency and sustainable practices highlights their integral role in supporting a clean energy economy."
Multi Nitrotama Kimia,Special capital Region of Jakarta,,Indonesia,501-1000 Employees,,"Multi Nitrotama Kimia (MNK) is a leading provider of mining explosives in Indonesia, with a strong focus on producing Ammonium Nitrate (AN), which is directly related to nitric acid. The company has a proven track record in this sector and has recently expanded its production capacity."
ibuychemikals.com,Chennai,,India,501-1000 Employees,2016,"The company, Ibuychemikals, emphasizes its commitment to quality in chemicals, including Nitric Acid 2M (2N), which they offer for online purchase in small quantities at competitive prices. With a focus on timely delivery and a wide range of chemical products, they cater to the needs of chemists, researchers, and small manufacturing units."
"Brainerd Chemical Co., Inc.",Tulsa,,United States,101-250 Employees,1959,"Brainerd offers concentrated nitric acid, which is essential in various applications such as powder metallurgy, ceramics, and nitration processes in pharmaceuticals and munitions manufacturing. Their commitment to high standards and safety in chemical handling underscores their expertise in providing environmentally sustainable chemical solutions."
Shijiazhuang Xinlongwei Chemical Co.Ltd,Shijiazhuang,,China,51-100 Employees,2008,"Shijiazhuang Xinlongwei Chemical Co., Ltd. is one of the largest manufacturers and exporters of Nitric Acid in North China, along with other liquid hazardous chemicals like Hydrochloric Acid and Sulfuric Acid."
MARLYN (PTY) LTD.,Germiston,,South Africa,11-50 Employees,1990,Marlyn Chemicals offers Nitric Acid among its diverse range of mining and water treatment products.
Nitro,São Paulo,,Brazil,501-1000 Employees,1935,"The company, Nitro, specializes in nitrocellulose and agribusiness, indicating a potential relevance to industries that may utilize nitric acid in their processes."
