name,city,state,country,employees,founded,description
Ortho Europe,Vale of White Horse,,United Kingdom,501-1000 Employees,1990,"Ortho Europe is a leading manufacturer and distributor of orthopedic equipment, including prosthetic limbs and orthotic devices, designed to enhance mobility and comfort. Their innovative products, like the Alpha TruSeal and SmartTemp liners, prioritize user comfort and effective support for individuals in need of mobility assistance."
AB Ortopedijos technika,Kaunas,,Lithuania,501-1000 Employees,1945,"AB Ortopedijos Technika is a prominent manufacturer of orthopedic products, offering a range of high-standard customized solutions like orthoses, insoles, and custom-made footwear. With over 75 years of experience and advanced manufacturing technologies, the company serves both European and global markets."
Excelsior Orthopaedics,Town of Amherst,,United States,101-250 Employees,2002,"Excelsior Orthopaedics offers a comprehensive range of durable medical equipment and customized options designed to optimize recovery. With a focus on progressive care and support services, they are a trusted practice for orthopedic needs in WNY."
Angelus Medical & Optical,Gardena,,United States,11-50 Employees,1946,"Angelus Medical & Optical offers a comprehensive collection of orthopedic equipment, ensuring that medical professionals have access to essential tools for their practice. Additionally, they provide free loaners to minimize downtime and maintain patient care."
OrthoCare Medical Equipment LLC,Manchester,,United States,11-50 Employees,2004,"OrthoCare is a nationally accredited low-cost provider of Durable Medical Equipment (DME) in the Northeast, focusing on delivering high-quality orthopedic equipment that ensures the best patient outcomes and cost savings for medical facilities. Their commitment to patient education and satisfaction enhances the overall experience for both patients and healthcare providers."
Orthopedic Surgical Solutions LLC,Tucson,,United States,1-10 Employees,2013,"Orthopedic Surgical Solutions, LLC specializes in the sales and repairs of orthopedic medical devices, offering a wide range of products including orthopedic implants, instruments, and surgical power tools. Their comprehensive inventory supports various surgical procedures, making them a key resource for hospitals and surgical centers."
Opcare,Vale of White Horse,,United Kingdom,501-1000 Employees,2004,"Opcare is a leading provider of orthotic services in the British Isles, offering comprehensive care that includes the assessment, design, manufacture, and fitting of orthotic devices. With over 40 clinics and a commitment to using the latest technology, Opcare ensures high-quality, patient-centered services, making it a key player in the field of orthopedic equipment."
Performance Health UK,United Kingdom,,United Kingdom,1001-5000 Employees,,"The company is a global leader in rehabilitation and recovery, offering a wide range of products, including orthopedic supports and braces, designed to enhance patient outcomes. With trusted brands like THERABAND® and Rolyan®, it provides solutions that focus on pain relief and performance."
DJO Global,Vista,,United States,1001-5000 Employees,1978,"DJO® is a leading manufacturer of orthopedic devices, offering a wide range of products that include rehabilitation devices, surgical implants, and bone growth stimulation equipment. Their commitment to innovative technologies supports the orthopedic continuum of care, enhancing performance and mobility for patients."
MEDICAL-ORTHO by MEDICSUPPLY,Villeneuve-sur-Lot,,France,11-50 Employees,1981,"Medical Ortho by MedicSupply specializes in the sale and rental of medical and orthopedic equipment, emphasizing the customization of their product and service offerings to meet the specific needs of clients and patients. Their commitment to quality and local engagement ensures a responsive approach to healthcare needs."
