name,city,state,country,employees,founded,description
Embedded Planet,Cleveland,,United States,11-50 Employees,1997,"The Embedded Planet's epConnect family of products provides a robust IoT solution that emphasizes rapid development and customization, making it ideal for embedded system applications. Their production-proven designs and full life cycle management support efficient deployment and integration of embedded solutions."
MicroSys,Sauerlach,,Germany,11-50 Employees,1975,"MicroSys Electronics specializes in developing embedded solutions using System-on-Modules (SoMs), offering a range of real-time embedded platforms suitable for various applications, from vehicle controllers to edge computing. Their miriac® SoMs and Single Board Computers (SBCs) provide efficient design options for creating dedicated systems in industrial quantities."
Lanner Electronics,Mississauga,,Canada,501-1000 Employees,1986,"Lanner Electronics Inc is a leading provider of design and engineering services for advanced network appliances and rugged computing platforms, emphasizing their capability to support customers in bringing embedded systems to market quickly and efficiently. Their investment in automated equipment enhances flexibility and traceability, which is crucial for developing innovative embedded solutions."
SaM Solutions,Gilching,,Germany,501-1000 Employees,1993,"SaM Solutions specializes in embedded systems, offering extensive experience in embedded Linux development services. Their expertise in developing and testing firmware for network appliances positions them as a key player in delivering high-quality software solutions."
SYSGO,Klein-Winternheim,,Germany,101-250 Employees,1991,
WPG Americas,San Jose,,United States,1001-5000 Employees,2007,"WPGA specializes in providing embedded system solutions, offering a range of embedded single board computers and technical support through their Innovation Technical Center. Their commitment to exceeding customer expectations is reflected in their focus on advanced technologies for the embedded computing market."
SmartSoC Solutions Pvt Ltd,Bengaluru,,India,501-1000 Employees,2016,"SmartSoC Solutions is a prominent Product Engineering company that specializes in Embedded Systems, along with Semiconductor and Artificial Intelligence domains. They focus on enabling clients to design and build next-generation products through innovative solutions and world-class engineering practices."
Expert Global Solutions,Marietta,,United States,501-1000 Employees,2005,"Expert Global is a reputable IT and Engineering Design Solutions firm that offers high-quality design and development services, including embedded software and electronics, aimed at enhancing business growth for clients worldwide. Their experience with Fortune 100 and Fortune 500 companies underscores their capability in delivering dependable and scalable solutions in the embedded systems domain."
INFO TECH,Gdańsk,,Poland,11-50 Employees,2002,"INFO TECH specializes in embedded systems development, making it a key player in this field."
egnite GmbH,-,,-,,,"egnite specializes in developing customized embedded systems that integrate hardware and software solutions, offering a range of internet-capable single board computers and supporting components. Their product line includes digital audio systems and embedded Linux support, making them a key player in the embedded systems sector."
