name,city,state,country,employees,founded,description
Recycle Plastics,India,,India,251-500 Employees,1985,"Recycle Plastics is dedicated to transforming waste management through innovative recycling solutions and the development of eco-friendly packaging. Since 1985, the company has been a leader in the recycling industry, focusing on reducing plastic waste and replacing virgin materials with sustainable alternatives."
Plastic Expert,Northampton,,United Kingdom,11-50 Employees,2010,"Plastic Expert is dedicated to sustainable plastic recycling for businesses across the UK. They provide recycling certificates and documentation, ensuring compliance with legislative requirements while focusing on enhancing the quality of recyclate to drive down collection costs."
Plastic Recycling Inc.,Indianapolis,,United States,251-500 Employees,1988,"Plastic Recycling, Inc. is a prominent player in the recycling industry, established in 1988 with a commitment to environmentally beneficial products and services. The company specializes in recycling various materials, including polypropylene and polyethylene, and offers tailored solutions for manufacturing needs."
Recyclan,London,,United Kingdom,501-1000 Employees,2018,"Recyclan is a PET recycling and processing company that transforms discarded plastic waste into high-grade recycled PET, specifically for the food and beverage sector. Their product, Hot Washed Flakes, is supplied to manufacturers who create new recycled containers, promoting sustainable living through innovative recycling practices."
DUYTAN Plastic Recycling,Ho Chi Minh City,,Vietnam,251-500 Employees,2017,"The company specializes in plastic recycling, operating a state-of-the-art facility that processes 30,000 tons of plastic waste annually using advanced ""Bottles to Bottles"" technology. This process converts plastic bottles into recycled particles that meet food safety standards, which are then used to create new bottles, supporting sustainable development and promoting circular economy models."
Recycling Technologies,United Kingdom,,United Kingdom,101-250 Employees,2011,"The company is dedicated to enhancing plastic sustainability through innovative chemical recycling technologies that convert plastic waste into valuable base chemicals and feedstocks. This approach not only complements traditional mechanical recycling but also significantly boosts recycling capacity, addressing the global plastic pollution crisis and promoting a circular economy."
PlastiCycle Corporation,Nashville,,United States,11-50 Employees,1998,"PlastiCycle has been a key player in plastic recycling since 1998, offering comprehensive services for manufacturers and converters across the U.S. They facilitate the sale of plastic scrap and provide high-quality recycled materials, emphasizing their commitment to the principles of ""Reduce, Reuse, Recycle."""
Veolia UK,United Kingdom,,United Kingdom,1001-5000 Employees,1853,"Veolia is dedicated to ecological transformation and positions itself as a leader in resource management, emphasizing its commitment to plastic recycling as part of its broader strategy to promote sustainability and the Circular Economy. Their comprehensive plastic recycling services adhere to high quality standards, reflecting their innovative approach to reusing materials and reducing carbon emissions."
Plastics Recyclers Europe,Woluwe-Saint-Pierre - Sint-Pieters-Woluwe,,Belgium,11-50 Employees,1996,"Plastics recycling in Europe is a booming industry, crucial for effective waste management and promoting a circular plastic economy. It significantly reduces CO2 emissions and enhances the use of recycled plastics in new products."
Enviro Recyclean Pvt. Ltd.,Indore,,India,51-100 Employees,2020,"The company, Enviro Recyclean, is dedicated to transforming plastic waste into a circular economy through extensive recycling efforts. With a facility in Indore, they collect and reprocess various types of plastic waste, aiming to reduce landfill deposits and promote sustainability."
