name,city,state,country,employees,founded,description
CitiView Audio Visual,Bayonne,,United States,11-50 Employees,1998,"CitiView Audio Visual is a full-service corporate event production company that specializes in audio visual equipment rentals and services, ensuring professional and productive web meetings and events through features like multi-camera switching and picture-in-picture display. With over 20 years of experience, the company caters to a diverse clientele in the United States and Europe."
WOOHAH,Melbourne,,Australia,11-50 Employees,2001,"The company specializes in audio-visual equipment and event services, offering a wide range of products such as professional audio, LED screens, and lighting hire, along with production management for various events. Their expertise includes support for corporate events, virtual exhibitions, and livestreaming, making them a comprehensive solution for audio-visual needs in Sydney and Melbourne."
Toronto Audio Visual Rentals,Canada,,Canada,11-50 Employees,2012,"Toronto Audio Visual Rentals offers state-of-the-art audio-visual equipment for rent, along with comprehensive technical support and event management services to ensure the success of conferences, meetings, and other events. Their professional team assists throughout the planning and execution process, making them a trusted partner for event organizers."
ClarksAV - Clark's Audio Visual,Vancouver,,Canada,11-50 Employees,1981,"The company specializes in audio-visual equipment and event technology integration, offering a comprehensive range of services including AV rental, video and audio production, and live streaming for conferences and events. With over 35 years of experience, they are dedicated to delivering exceptional brand experiences and project support."
Visual Sound,Marple Township,,United States,101-250 Employees,1967,"Visual Sound is a leader in the audio visual industry, offering integrated design-build solutions that enhance collaboration through advanced video conferencing and innovative presentation tools. They provide expertise in planning live, virtual, and hybrid events, ensuring teams can connect and collaborate effectively anytime, anywhere."
PROFESSIONAL VIDEO & HI FI PTY. LTD.,Greater Brisbane,,Australia,51-100 Employees,1980,"Videopro is a leading dealer in audio visual equipment, boasting over 40 years of experience and a dedicated team. Their diverse solutions and services cater to various AV needs, making them a go-to resource in Australia."
Pure Audio Visual,Preston,,United Kingdom,51-100 Employees,2003,"Pure AV emphasizes the importance of audio visual technology in enhancing collaboration and communication for teams, offering a range of innovative products and adaptable spaces that ensure clear audio and effective presentations. Their expertise and partnerships with leading AV manufacturers guarantee clients access to reliable equipment tailored to various needs."
Audio Visual Material Limited,Surrey Heath,,United Kingdom,51-100 Employees,1968,"Audio Visual Material Ltd. specializes in providing a comprehensive range of audiovisual equipment, including UK projection screens. They offer innovative Audio-Visual as a Service (AVaaS) and rental solutions, ensuring customers have access to high-quality AV products and dedicated after-sales support."
Av Rental,Birmingham,,United Kingdom,11-50 Employees,2000,"PSP is a leading independent AV rental and technical production company in the UK, offering a comprehensive inventory of state-of-the-art audio visual equipment including LED displays, projectors, cameras, sound systems, and more. With strong relationships with top equipment manufacturers and a team of industry professionals, PSP ensures high-quality technical support and expertise for events."
Vega Global Group,Kwai Tsing District,,China,501-1000 Employees,1986,"Vega Global is a leading AV integrator that has been providing innovative audiovisual solutions since 1986. They specialize in designing, implementing, and supporting digital workplace systems, including video conferencing and collaboration technologies, to enhance business communication and operations."
