name,city,state,country,employees,founded,description
WestRock,Norcross,,United States,10001+ Employees,1953,"WestRock is a leader in sustainable packaging solutions and offers KraftPak® Paperboard, which is an uncoated, unbleached kraft paperboard that provides strength and durability while using less fiber. This product aligns with WestRock's commitment to innovation and sustainability, making it a relevant choice for those seeking kraft paper solutions."
Macfarlane Packaging,Coventry,,United Kingdom,251-500 Employees,1949,"Macfarlane Packaging offers a variety of kraft paper products, including brown kraft paper rolls and ribbed kraft options, designed to enhance the protection of your items during storage and transit. With a commitment to sustainability and continuous improvement, the company provides reliable packaging solutions that can help reduce costs and improve efficiency."
Saffron Industries,India,,India,101-250 Employees,1993,"Saffron Industries (SIL) is a leading manufacturer of Kraft Paper, with over two decades of expertise in producing high-quality products. The company is dedicated to delivering unmatched quality at affordable prices, continuously enhancing its production processes to meet customer needs."
Twin Rivers Paper Company,Caribou,,United States,1001-5000 Employees,,"The company specializes in high-quality specialty paper, including innovative packaging solutions that may encompass kraft paper products. Their focus on sustainability and advanced technical features aligns with the growing demand for functional and eco-friendly packaging options."
Canadian Kraft Paper,The Pas,,Canada,51-100 Employees,2016,"Canadian Kraft Paper is a leading global supplier of high-performance unbleached sack kraft paper, known for its strong and consistent quality. Their products are designed to meet the rigorous demands of modern packaging requirements."
International Paper,Memphis,,United States,10001+ Employees,1898,"International Paper is a prominent global manufacturer of renewable fiber-based products, including pulp and sustainable packaging solutions. Their commitment to sustainable practices and innovative products aligns with the growing demand for environmentally friendly materials."
Starkraft,Pöls-Oberkurzheim,,Austria,51-100 Employees,,"Starkraft is a leading manufacturer of kraft paper, producing a variety of products like bags and wrapping paper, as well as composite packaging for various applications. Their advanced technology and experienced team ensure high-quality kraft papers that meet specific customer requirements."
RP Paper Impex (P) Limited,Sahibzada Ajit Singh Nagar,,India,251-500 Employees,,"RP Paper Impex is a leading manufacturer and exporter of kraft paper, specifically for bags, offering a wide range of products in various sizes and GSMs. With a strong commitment to quality and a vast supply chain network, they ensure above-market standards for their kraft paper products."
Maxpack | Protecting Your Production,Shrewsbury,,United Kingdom,51-100 Employees,1976,"The company offers Pure Kraft Paper Rolls, which are made from strong, unbleached pure wood pulp, providing a durable and tear-resistant wrapping material. These rolls are ideal for applications where strength and presentation are important."
Graphic Packaging,Atlanta,,United States,10001+ Employees,1978,"Graphic Packaging International specializes in paper-based packaging, including their ProducePack™ line, which offers sustainable paper packaging solutions for fresh fruit and vegetables. Their commitment to renewable and recyclable materials highlights their focus on environmentally friendly packaging options."
