name,city,state,country,employees,founded,description
ABC Deterjan,Turkey,,Turkey,501-1000 Employees,1972,"ABC offers a range of laundry care products, including liquid detergents, making it your top choice for effective cleaning."
P&G Professional UK & Ireland,Elmbridge,,United Kingdom,1001-5000 Employees,1920,"P&G Professional offers a range of laundry detergents designed to meet the rigorous cleaning needs of businesses in various industries. Their products, including well-known brands like Ariel® Professional, are formulated for efficiency, providing effective cleaning results while reducing environmental impact."
P&G Professional,Cincinnati,,United States,1001-5000 Employees,,"P&G Professional offers effective laundry detergents, such as the Tide Professional Laundry system, which helps maintain the cleanliness and brightness of linens, a crucial factor for businesses like restaurants. Their comprehensive solutions are designed to meet the laundry needs of various enterprises, ensuring a fresh and inviting environment for guests."
Wolf Laundry,Barnsley,,United Kingdom,51-100 Employees,2012,"Wolf Laundry specializes in providing bespoke commercial laundry solutions, including a diverse range of detergents such as bio and non-bio options, high perfume fabric conditioners, and destainers. With over 30 years of industry experience and a commitment to customer satisfaction, they ensure that every laundry operation achieves spotless and fresh results."
STPP GROUP | Detergent Manufacturer,Dongguan,,China,1001-5000 Employees,2013,"The company is expanding its production capabilities to include liquid detergents, offering a range of products such as ultra-concentrated laundry detergent and other cleaning solutions. With over 20 years of experience, they have established a strong presence in the Home Care & Cleaning industry, ensuring high-quality production for both professional and household use."
Famous Household Products Co. Ltd,Guangzhou City,,China,501-1000 Employees,2011,"Famous® specializes in creating sustainable and eco-friendly laundry detergents, including their trusted Colour & Dirt Liquid Laundry Detergent and Washing Powder. With over 30 years of experience, the company combines traditional laundry knowledge with modern science to provide effective cleaning solutions for families."
Portion Pac,Nashville,,United States,51-100 Employees,,"PortionPac Chemical Corporation is committed to formulating safe and environmentally friendly products, including laundry detergents, while emphasizing proper usage through educational materials. Their focus on sustainability and improving worker health underscores their dedication to effective and responsible cleaning solutions."
Laundry365,Norwich,,United Kingdom,11-50 Employees,2006,"Laundry365® specializes in providing a wide range of laundry detergents and commercial laundry equipment, ensuring that customers find the best solutions for their needs. They offer various options, including laundry liquids and detergents, emphasizing customer support and competitive pricing."
Tintolav s.r.l.,Trofarello,,Italy,11-50 Employees,1967,
Clariant Chemicals,Pratteln,,Switzerland,10001+ Employees,1956,"Clariant is a prominent manufacturer of specialty chemicals, including innovative laundry solutions like TexCare® SRA 300 F, a soil release polymer that enhances the cleaning and whitening power of powder detergents. This product addresses consumer preferences for convenience and effectiveness, particularly on polyester and polyester/cotton fabrics, ensuring lasting brightness even after multiple washes."
