name,city,state,country,employees,founded,description
Metaverse Corporation,South Brunswick,,United States,51-100 Employees,2001,"Metaverse, a technology company that evolved into a major online retailer of art prints and posters, offers a vast selection of over 200,000 customizable art pieces, showcasing its expertise in creating high-quality artwork and enhancing the shopping experience."
Metaverse Media,Greater Brisbane,,Australia,1-10 Employees,2021,"Metaverse Media is at the forefront of transforming media by merging it with immersive virtual worlds, laying the groundwork for a metaverse future that enhances everyday experiences for consumers and businesses."
RLTY,France,,France,11-50 Employees,2022,"The company specializes in creating infrastructure for virtual events within the Metaverse, offering tools for event organizers across various industries. Their RLTY product provides a comprehensive stack for building 3D experiences, enhancing accessibility and engagement in immersive virtual worlds."
Meetaverse,San Francisco,,United States,51-100 Employees,2022,"Meetaverse is a prominent provider of digital experiences, specializing in software solutions that create immersive corporate metaverse environments. Their platform enhances connectivity and collaboration through interactive experiences, making it ideal for hosting virtual events and fostering team engagement."
Improbable,London,,United Kingdom,501-1000 Employees,2012,"Improbable is dedicated to advancing the metaverse, leveraging its gaming expertise, blockchain, and AI to develop innovative technologies that enhance virtual worlds. The company has also established The Metaverse Society, a think tank focused on exploring the social and economic implications of the metaverse."
Virtual Voyagers,Madrid,,Spain,1-10 Employees,2017,"The company, Virtual Voyagers, emphasizes its extensive expertise in the VR/AR market and metaverses, covering aspects of business, design, and development."
Virtual Force Inc.,New York,,United States,101-250 Employees,2011,"The company, Virtualforce.io, specializes in providing augmented, virtual, and mixed reality solutions for the metaverse, highlighting its commitment to empowering businesses through innovative digital experiences."
METAV.RS,France,,France,11-50 Employees,2021,METAV.RS is a comprehensive Web3 platform designed to assist brands in navigating the complexities of the Metaverse and Web3 strategies. They offer tools and support to help businesses leverage immersive virtual worlds for enhanced customer engagement and growth.
Agora.io,United States,,United States,101-250 Employees,2012,"Agora specializes in Real-Time Engagement (RTE) technology, offering APIs and SDKs that enable seamless integration of interactive features into applications, making it a key player in the metaverse space. The company's solutions provide tools for creating immersive and engaging experiences across various sectors, including gaming, events, and collaboration."
Metaverse EU,Brussels,,Belgium,1-10 Employees,,"Metaverse EU is a Brussels-based service provider that specializes in software development for the Metaverse, aiming to improve understanding of its regulatory framework in Europe. They provide analysis and updates on EU policy and business news related to the Metaverse."
