name,city,state,country,employees,founded,description
Beilum Carbon Chemical Limited -- Pigment Carbon Black,Zaozhuang,,China,51-100 Employees,2005,"Beilum Carbon Chemical Limited specializes in the research, development, and production of carbon black, offering a range of high-performance products for various applications including printing inks, plastics, and tires. Their expertise in pigment carbon blacks and conductive additives positions them as a key supplier in the carbon black industry."
Tokai Carbon CB,Fort Worth,,United States,251-500 Employees,1961,"Tokai Carbon CB is a leading producer of furnace-grade carbon black in North America, offering over 40 grades of the material used in tires, rubber goods, plastics, coatings, inks, and toners. The company's commitment to quality and innovation positions it as a key player in the carbon black industry."
"Powder Technology, Inc.",Arden Hills,,United States,11-50 Employees,1980,"PTI is a pioneer in particle modification, specializing in size reduction and air classification, making it well-equipped to handle materials like Carbon Black. With over 40 years of experience, PTI emphasizes product consistency and immediate availability, particularly in test dust production."
MAKROchem,Lublin,,Poland,51-100 Employees,1995,"MAKROchem is a leading supplier of Carbon Black for the rubber industry, with a robust annual sales volume and a commitment to efficient logistics, ensuring timely and high-quality delivery to European rubber plants."
PANASYSTEM HANDELS GMBH,Vienna,,Austria,11-50 Employees,2015,"The company is a specialized distributor of carbon black, providing a variety of products designed for different industrial applications."
Heubach,Langelsheim,,Germany,1001-5000 Employees,1806,"Heubach is focused on developing sustainable color solutions, including their Graphtol Black CLN, which highlights their commitment to innovation and quality in various applications. Their expertise in material science and dedication to sustainability position them as a key player in the pigment industry."
C&G Pigment,Hangzhou City,,China,11-50 Employees,1993,"C&G Pigment emphasizes its role as a major player in the inorganic pigments market, including carbon black, which is highlighted in their product offerings. Their commitment to international standards and quality controls ensures that their carbon black products meet stringent criteria for performance and safety."
Saint-Gobain Performance Ceramics & Refractories,Courbevoie,,France,1001-5000 Employees,1665,"The company offers a diverse selection of refractory products specifically designed for carbon black reactors, including bricks, blocks, shapes, and monolithics. Their NORFLOW® castables range emphasizes thermal conductivity and shock resistance, making them ideal for the demanding conditions of the carbon black production process."
CFI Carbon Products,Bluefield,,United States,11-50 Employees,1987,"CFI Carbon Products specializes in Austin Black 325, a low-weight carbon black extender and replacement used in rubber, tires, plastics, and silicone. Their commitment to product testing and innovation ensures that manufacturers can improve their formulas and achieve significant end-product advantages."
PentaCarbon GmbH,Haltern am See,,Germany,11-50 Employees,2010,"PentaCarbon GmbH is an international company specializing in the trade and distribution of raw materials, particularly industrial carbon blacks. They position themselves as a global supplier of high-quality carbon black, catering to various applications."
