name,city,state,country,employees,founded,description
Deli Star Corp.,St. Louis,,United States,,,"Specializing in fresh, never-frozen protein solutions, delivering extended shelf life and an unmatched food safety record. Through culinary innovation, efficient manufacturing, and a resilient supply chain, Deli Star is trusted to meet the evolving needs of the B2B food industry."
Danish Crown,Aalborg,,Denmark,10001+ Employees,1887,"Danish Crown is actively working to revolutionize the beef industry by aiming to halve its climate footprint by 2030, implementing sustainable practices from farming to transportation and processing."
ABS Global,DeForest,,United States,1001-5000 Employees,1941,"The company has established a strong presence in the bovine genetics industry through innovative products like the Sexcel® sexed genetics and ABS Beef InFocus™, which provides reliable beef genetics. Their focus on genetic improvement and efficiency aims to enhance calf crop value and optimize the beef supply chain."
Fancy Foods Inc.,New York,,United States,251-500 Employees,1981,"Fancy Foods Inc is a distributor of protein food products, including beef, serving the Retail, Wholesale, and Foodservice sectors in the NY, NJ, and Connecticut markets. The company emphasizes health-conscious options and offers a variety of both branded and private label products."
AdvancePierre Foods,Cincinnati,,United States,1001-5000 Employees,1946,"The company offers a variety of high-quality beef products from renowned brands, catering to different culinary needs."
Baldor Specialty Foods Inc.,New York,,United States,1001-5000 Employees,1991,Baldor Specialty Foods offers a selection of beef as part of their extensive collection of fresh produce and specialty foods. They pride themselves on delivering high-quality products to meet their customers' needs.
Liffey Meats,Ballyjamesduff Municipal District,,Ireland,501-1000 Employees,1911,"Liffey Meats is a prominent producer of premium Irish beef products, such as steak haché, hamburgers, and meatballs, sourced from Angus and Hereford cattle."
Scotbeef Limited,Glasgow,,United Kingdom,1001-5000 Employees,1920,"Scotbeef is a family-owned business with over 100 years of experience in supplying high-quality beef products to the UK retail sector and export markets. They are committed to sustainable procurement, ensuring that all beef meets the highest industry standards, and they offer a diverse range of award-winning beef and lamb products."
Vestey Foods International Ltd,London,,United Kingdom,51-100 Employees,,"Vestey Foods International is a trading company that specializes in sourcing and distributing quality meat products, including beef. With a global network and strong relationships with suppliers, they ensure a diverse range of high-quality food products."
American Foods Group,Green Bay,,United States,1001-5000 Employees,1946,"American Foods Group emphasizes its commitment to high-quality beef production, hand-selecting superior cuts to ensure exceptional standards. They provide a diverse range of beef products suitable for various foodservice operations."
