name,city,state,country,employees,founded,description
CACEIS,Paris,,France,1001-5000 Employees,2005,"CACEIS emphasizes strong corporate governance through its experienced leadership team, which includes Jean-Pierre Michalowski as CEO and several deputy CEOs overseeing key operational areas. Their collective backgrounds in banking and asset management enhance the company's ability to provide comprehensive financial services while ensuring effective management and strategic oversight."
The Governance Company,Dublin,,Ireland,1-10 Employees,2017,"The company is a specialist corporate advisory firm focused on corporate governance, offering services such as governance diagnostics, board evaluations, and training. Their expertise assists boards in addressing governance issues and enhancing their strategic planning."
ISS Corporate Solutions,Rockville,,United States,51-100 Employees,,"ICS specializes in corporate governance, offering expert advisory services and robust analytics to help organizations design and manage their governance programs. Their dedicated advisors provide customized strategies, in-depth reviews, and risk assessments to align governance structures with company goals and stakeholder needs."
The Corporate Governance Institute,Dublin,,Ireland,11-50 Employees,2020,"The Corporate Governance Institute specializes in providing certified diplomas and courses in corporate governance, including ESG, designed for immediate workplace application. Their programs are globally recognized and industry-approved, equipping current and aspiring directors with essential skills and insights for effective governance."
SuMi TRUST Global Asset Services,Dublin,,Ireland,251-500 Employees,1990,"SuMi TRUST Global Asset Services provides specialized Corporate Governance Meeting Services, which include comprehensive support for board meetings, minute-taking, and statutory compliance. Their Corporate Secretarial Department ensures effective governance for funds, addressing the intricate needs of hedge funds and enhancing their regulatory adherence."
Moores Rowland International,London,,United Kingdom,501-1000 Employees,1866,"Moores Rowland specializes in corporate governance, helping organizations establish robust governance structures that align with international standards to safeguard stakeholders' rights. Their services include raising awareness, training executives, and modifying corporate bylaws to enhance transparency and accountability, ultimately benefiting companies and shareholders alike."
Corporate Governance Solutions,Dublin,,Ireland,1-10 Employees,2019,"Corporate Governance Solutions (CGS) specializes in tailored corporate secretarial and compliance services, particularly for the regulated financial services sector. Their expertise includes governance advisory services, compliance support, and the implementation of corporate governance frameworks, making them a valuable partner for organizations seeking to enhance their governance and compliance practices."
Beyond Governance,London,,United Kingdom,11-50 Employees,2019,"The company, Beyond Governance, provides comprehensive services that focus on corporate governance, including structured decision-making frameworks, accountability mechanisms, and compliance training. Their expertise helps organizations improve efficiency and mitigate legal risks through effective governance practices."
Comply Academy,London,,United Kingdom,11-50 Employees,2021,"The company, an e-learning service provider, offers accredited online qualifications specifically in Corporate Governance, among other areas. Their training programs, accredited by the Association of Governance, Risk and Compliance (AGRC), equip professionals with essential knowledge and skills in governance and related fields."
Mauritius Institute of Directors (MIoD),Moka VCA,West,Mauritius,1-10 Employees,2008,"The company, the Mauritius Institute of Directors (MIoD), specializes in corporate governance and ethics, offering training and resources to promote best practices. It emphasizes the Board's role in setting strategic objectives and ensuring compliance with relevant regulations, thereby fostering a culture of integrity and accountability within organizations."
