name,city,state,country,employees,founded,description
Mintable,San Jose,,Philippines,1-10 Employees,2018,"Mintable is a service that utilizes Ethereum's blockchain to allow users to create, manage, and sell digital files, highlighting the importance of provable ownership and traceability for digital assets."
Mint Middle East,Dubai,,United Arab Emirates,51-100 Employees,2009,"Mint is a prominent payment solutions provider that specializes in a comprehensive suite of services, including card management programs and secured transaction processing. The company also offers payroll management and various electronic payment services, making it a key player in the financial services sector."
Mint,Canada,,Canada,11-50 Employees,2005,"Mint is an independent creative agency in Toronto that focuses on advertising, marketing, and branding. They emphasize building brands that positively impact culture and the future, which could be relevant for those interested in innovative marketing strategies."
Mintel,London,,United Kingdom,1001-5000 Employees,1972,"Mintel is a prominent market intelligence provider that specializes in understanding consumer behaviors and trends, which can be valuable for businesses looking to innovate and adapt their strategies. Their expertise spans various sectors, including beauty and personal care, and they utilize advanced technologies to deliver insights that help clients stay ahead in competitive markets."
Mint \ Events & Experiential Marketing,Mexico,,Mexico,11-50 Employees,2009,"Mint Events & Experiential Marketing specializes in creating unforgettable brand experiences through a variety of services, including live marketing and digital strategies."
Royal Canadian Mint,Ottawa,,Canada,1001-5000 Employees,1908,"The Royal Canadian Mint is a government-owned corporation that specializes in producing circulation and non-circulation coins, as well as precious metals investment products."
Mint Physician Staffing,Houston,,United States,51-100 Employees,1996,"Mint Physician Staffing is a leading locum tenens agency that specializes in connecting healthcare facilities with qualified physicians and advanced practitioners for temporary staffing needs. Their extensive experience and focus on various specialties, including Emergency Medicine and Radiology, ensure that facilities can maintain coverage and continue patient care seamlessly."
Public Mint,Dover,,United States,11-50 Employees,2018,"Public Mint is a technology-driven service provider that specializes in programmable currency and seamless fund transfers within the decentralized finance sector. Their platform allows users to add funds through various methods, including stablecoins, and enables the creation of fiat-enabled applications that accept multiple payment methods, enhancing accessibility to digital assets."
PA Partnership,Cotswold District,,United Kingdom,1-10 Employees,2021,"MINT is a service provider that specializes in Remote Personal Assistant (PA) services, enhancing executive productivity by offering high-caliber administrative support. This allows executives to focus on core tasks while reducing the costs and burdens of hiring full-time staff."
Mint People,Kettering,,United Kingdom,11-50 Employees,2007,"MINT specializes in providing highly trained bar and catering staff, ensuring exceptional service in the hospitality sector. With a focus on reliability and quality, MINT equips venues and event organizers with skilled personnel who can seamlessly integrate into any team."
