name,city,state,country,employees,founded,description
Dipole Group,Sydney,,Australia,51-100 Employees,2012,"Dipole Group is a specialist in telecom network delivery, focusing on providing robust information technology and telecommunication solutions for both public and private sectors in Australia. Their commitment to brand protection and customer satisfaction ensures they deliver successful outcomes through a variety of service management solutions, including asset management and operational support."
DIPCORE,Belo Horizonte,,Brazil,11-50 Employees,2013,"Dipcore specializes in directional borehole survey and core orientation, offering advanced measurement equipment and a range of rental instruments for the mining and oil & gas industries. With a focus on data management and operational efficiency, Dipcore ensures reliable and accurate results, providing remote support and training programs for clients."
Dipcode,Braga,,Portugal,11-50 Employees,,"Dipcode is a company that specializes in customized web development, particularly using open source technologies like Django and WordPress. This expertise allows them to create tailored web solutions that meet diverse business needs across various sectors."
Dipon Group,Dhaka,,Bangladesh,1001-5000 Employees,1970,"DIPON Group, established in 1970, specializes in providing comprehensive solutions for oil and gas pipeline construction, highlighting its commitment to quality and efficient delivery. Notably, they were the first Bangladeshi contractor to successfully connect a subsea LNG pipeline to the national gas grid, marking a significant development in Bangladesh's energy sector."
Grupo DIPO,San Antonio,,Costa Rica,501-1000 Employees,1960,"Grupo DIPO is a prominent distributor of fast-moving consumer goods in Costa Rica, representing well-known brands and ensuring efficient distribution services."
DIPC,Ahmedabad,,India,11-50 Employees,2019,"DIPC focuses on developing modern IT software solutions, including intuitive and innovative applications. Their expertise spans mobile and web application development, cloud consulting, and digital transformation."
Chaucer part of Bip Group,London,,United Kingdom,1001-5000 Employees,1987,"Bip is an international consultancy that specializes in business consulting services, particularly in life sciences, and offers expertise in digital innovation and transformation. The company employs modern methodologies to drive strategic business improvement and manage complex challenges."
Defense information system Agency,United States,,United States,10001+ Employees,1960,The Defense Information Systems Agency (DISA) is dedicated to enhancing national security and defense operations by providing advanced command and control and information-sharing capabilities. Their focus on reliable communications and information technology services directly supports joint warfighters and national leaders.
PT Anugerah Pharmindo Lestari,Special capital Region of Jakarta,,Indonesia,1001-5000 Employees,1985,"PT Anugerah Pharmindo Lestari (APL) is a key player in the Indonesian healthcare market, offering specialized distribution and innovative digital solutions that enhance healthcare accessibility. With a focus on tailored service models and engagement tools, APL serves over 60,000 medical facilities, collaborating with major pharmaceutical companies to improve patient adherence and health outcomes."
Diksha Technologies,Bengaluru,,India,251-500 Employees,2000,"Diksha Technologies is a trusted service provider specializing in IT solutions for Tier-1 businesses, focusing on enhancing digital maturity and business efficiency through innovative digital platforms. Their diverse range of services includes custom software development and managed services."
