name,city,state,country,employees,founded,description
BIOGROUPE,Erquy,,France,11-50 Employees,2010,"Biogroupe is a manufacturer and distributor that specializes in innovative and sustainable organic products, including kombucha. Their brands, Karma and YA, offer a variety of kombucha options available in organic retail stores across France and Europe."
All About Kombucha,Galway,,Ireland,1-10 Employees,2017,"All About Kombucha is Ireland's only carbon-neutral kombucha brewery, offering a fizzy fermented tea drink that is handcrafted with organic ingredients, making it both refreshing and low in calories."
MUN FERMENTS,Mataró,,Spain,11-50 Employees,2015,"The company specializes in producing natural, organic, and artisan kombucha since 2015, emphasizing its health benefits and commitment to minimal CO2 emissions. Their offerings are unpasteurized and made with high-quality ingredients, aiming to provide a healthy and delicious kombucha experience."
Kombucha 221 B.C.,Sarasota,,United States,11-50 Employees,2014,"Kombucha 221 B.C. is a producer of premium, organic, and gluten-free Kombucha, emphasizing gut health and wellness through its diverse flavors. Their products are readily available at major retailers, making it easy to incorporate Kombucha into a healthy lifestyle."
Humm Kombucha,Bend,,United States,51-100 Employees,2009,"Humm Kombucha offers a unique selection of flavors, including fan-favorites like Strawberry Lemonade and Blueberry Mint, all packed with vitamin B12 and probiotics, ensuring a delicious and healthful kombucha experience. Their commitment to quality and taste sets them apart in the kombucha market."
HOLOS Kombucha,City of Westminster,,United Kingdom,11-50 Employees,2018,"The company specializes in small-batch, hand-crafted kombucha made from all-natural ingredients and traditional brewing methods, offering a variety of unique flavors. Their products cater to various settings and include a comprehensive home brew kit, making it easy for enthusiasts to create their own kombucha."
Bucha Brew,Delta,,Canada,11-50 Employees,2016,"Bucha Brew offers a variety of kombucha flavors, including Ginger, Raspberry, and Mango, along with a unique Fun Fizzy Water that combines the benefits of organic kombucha with sparkling water. Their products are available for delivery in the Greater Vancouver area, ensuring that fans can enjoy refreshing, probiotic-rich beverages conveniently."
Raw Kombucha,Faridabad,,India,11-50 Employees,,"The company's mission is to make Kombucha affordable and accessible, promoting healthy lifestyles through their range of Herbal Super Tea Kombucha flavors. They offer a variety of Kombucha products, including unique blends like Hibiscus Lime and Mocha Coffee, and emphasize their commitment to quality and quick delivery."
Kombucha Works,Singapore,,Singapore,1-10 Employees,2013,"Kombucha Works emphasizes the importance of brewing your own kombucha, highlighting its popularity among health-conscious individuals and its numerous health benefits. Their commitment to quality and taste ensures a premium kombucha experience that can enhance your wellness journey."
MOMO Kombucha | B Corp™,London,,United Kingdom,11-50 Employees,2017,"Josh and Lisa are dedicated to brewing high-quality, completely unfiltered kombucha using organic ingredients, offering a variety of flavors like Ginger-Lemon, Raspberry-Hibiscus, Turmeric, and Elderflower. Customers can enjoy a 15% discount by subscribing for monthly deliveries of their favorite kombucha."
