name,city,state,country,employees,founded,description
Stockton Learning and Skills Service,Billingham,,United Kingdom,51-100 Employees,,The company specializes in post-19 adult education management services and offers learner support through its Stockton Learning and Skills Service.
Education Development Trust,Tsuen Wan District,,China,1001-5000 Employees,1968,"EDT has partnered with the UK’s Department for Education to deliver new Skills Bootcamps in Early Years across England, highlighting its commitment to enhancing adult education and skills development."
Canadian College of Educators,Mississauga,,Canada,11-50 Employees,2001,"The company specializes in accredited training and certification for Adult Educators, offering programs such as a Certificate in Adult Education and TESL certification. Their focus on professional development for instructors directly supports the advancement of adult education."
New Haven Unified School District,United States,,United States,1001-5000 Employees,1965,"The company specializes in education management for TK-12 school districts, providing solutions that enhance educational outcomes and the overall learning experience."
Dublin and Dun Laoghaire ETB (DDLETB),Tallaght,,Ireland,1001-5000 Employees,,"Dublin and Dún Laoghaire Education and Training Board (DDLETB) is dedicated to providing a wide range of education and training programs for adults, emphasizing the importance of lifelong learning for personal development and social inclusion. Their mission reflects a commitment to high-quality education that supports adult learners in the region."
Donegal ETB,Letterkenny,,Ireland,1001-5000 Employees,2013,"Donegal ETB offers a comprehensive Further Education and Training (FET) service, which includes a dedicated Adult Literacy Program. This program is designed to enhance the skills necessary for adult learners, supporting their educational and career aspirations."
World Education,Fort Worth,,United States,11-50 Employees,2013,"The company offers robust online career training programs that focus on upgrading the skills of adults, particularly teachers and first responders, and many of these programs fulfill continuing education requirements."
Mt. Diablo Unified School District,United States,,United States,1001-5000 Employees,,"Mt. Diablo Adult Education offers a variety of lifelong learning opportunities for adults, including English as a Second Language, high school diploma programs, and career training. The focus is on helping individuals of all ages and abilities achieve their educational and personal goals in a supportive environment."
Adult Education Service Balbriggan and Swords,Dublin,,Ireland,51-100 Employees,,"The company specializes in adult education and lifelong learning, offering a range of courses designed to support adults in enhancing their skills and confidence for employment and personal development. Key programs include training in English language, adult literacy, and various vocational skills, all provided in a supportive environment with experienced tutors."
Buffalo Public Schools Adult Education Division,Buffalo,,United States,251-500 Employees,,"The Adult Education Division offers high school equivalency diploma classes, English as a New Language classes, and Career & Technical Education programs specifically designed for adult learners. Their programs include workforce training and literacy initiatives, emphasizing accessibility to education for adults pursuing new career opportunities and lifelong learning."
